Song,Film/Album,Artists
Shyam Kanu Satyor Maron Nai,Hits Of Bhupen Hazarika,Bhupen Hazarika
Tomar Chhonwa Komal Keya,Hits Of Bhupen Hazarika,Bhupen Hazarika
Tumi Amar Kalpanari,Hits Of Bhupen Hazarika,Bhupen Hazarika
Tumi Natun Purush,Hits Of Bhupen Hazarika,Bhupen Hazarika
Kakhono To Hoi Nai Klanta,Jeeban Trishna,Bhupen Hazarika
Rim Jhim Rim Jhimm,Jibsndinga,Bhupen Hazarika
Chhariya Na Jasre,Mahut Bandhure,Bhupen Hazarika
Diganta Chhariye Tepantare,Mandella O Natun Gaan,Bhupen Hazarika
Ek Shankhachiler Sange Dilam,Mandella O Natun Gaan,Bhupen Hazarika
Jindabad Mandella,Mandella O Natun Gaan,Bhupen Hazarika
Oi Shona Jay,Mandella O Natun Gaan,Bhupen Hazarika
Swarger Kono Alada Thikana Nei,Mandella O Natun Gaan,Bhupen Hazarika
"Tumi, Amar Jemon",Mandella O Natun Gaan,Bhupen Hazarika
Ami Bhalobasi Manushke,Matite Janma Nilam,Bhupen Hazarika
Bajalire Banshiti,Mora Jatri Eki Taranir,Bhupen Hazarika
Ekti Kunri Duti Pata,Mora Jatri Eki Taranir,Bhupen Hazarika
Geile Ki Aasiben,Mora Jatri Eki Taranir,Bhupen Hazarika
Goom Goom Goom Goom,Mora Jatri Eki Taranir,Bhupen Hazarika
Mora Jatri Eki Taranir,Mora Jatri Eki Taranir,Bhupen Hazarika
Oi Kajal Kajal Dighi,Mora Jatri Eki Taranir,Bhupen Hazarika
Sajiye Dopati Mathar Khonpati,Mora Jatri Eki Taranir,Bhupen Hazarika
Su-Uchha Paharer Sringe,Mora Jatri Eki Taranir,"Bhupen Hazarika, Ruma Guhathakurata"
We Are On The Same Boat,Mora Jatri Eki Taranir,Bhupen Hazarika
Dham Dhama Dham Dham,Natun Diner Dak,Bhupen Hazarika
Kato Senanir Mrityu Holo,Natun Diner Dak,Bhupen Hazarika
Nadir Naam Bhalobasa,Natun Diner Dak,Bhupen Hazarika
Natun Diner Dak,Natun Diner Dak,Bhupen Hazarika
Nijhum Nishuti Shishirer Rat,Natun Diner Dak,Bhupen Hazarika
Chokh Chhal Chhal Kare,Sabar Hridaye Rabindranath,Bhupen Hazarika
Dante Kaitona Thot Aar,Sabar Hridaye Rabindranath,Bhupen Hazarika
Nana Barner Gabhire Bhai,Sabar Hridaye Rabindranath,Bhupen Hazarika
Dug Dug Dug Dug Dambaru,Sahasra Jane Morey,Bhupen Hazarika
E Kemon Ranga Jadu,Sahasra Jane Morey,Bhupen Hazarika
Ek Bnao Mele Na,Sahasra Jane Morey,Bhupen Hazarika
Goponey Goponey Kato Je,Sahasra Jone More Prashna,Bhupen Hazarika
Megh Tham Tham Kare,Shimana Periye,Bhupen Hazarika
Bandha Karo Ei Chhalona,Sopan,"Haimanti Sukla, Bhupen Hazarika"
Manabata,Sopan,Bhupen Hazarika
Teestar Paar Theke [1],Sopan,Bhupen Hazarika
Anka Banka E Pather,Sur Jetha Chiradin Rabe,"Hemanta Mukherjee, Bhupen"
Itihas Ami Itihas,Yubabarsher Gaan,Bhupen Hazarika
