Song,Film/Album,Artists
Raat Kali Ek Khwab Men Aai,Buddha Mil Gaya,Kishore Kumar
Kaho Kahan Chale,Bulundi,"Kishore Kumar, Asha Bhosle"
Ulfut Mein Zamane Ki,Call Girl,Kishore Kumar
Babu Samjho Ishare,Chalti Ka Naam Gaadi,"Kishore Kumar, Manna Dey"
Ek Ladki Bheegi Bhagi Si,Chalti Ka Naam Gaadi,Kishore Kumar
Haal Kaisa Hai Janab Ka,Chalti Ka Naam Gaadi,"Asha Bhosle, Kishore Kumar"
Ham The Woh Thi,Chalti Ka Naam Gaadi,Kishore Kumar
Main Sitaron Ka Tarana,Chalti Ka Naam Gaadi,"Kishore Kumar, Asha Bhosle"
Kal Ki Haseen Mulaqat Ke Liye,Charas,"Lata Mangeshkar, Kishore Kumar"
Dheere Se Jana Bagiyan Mein,Chhupa Rustam,Kishore Kumar
Ghunghroo Ki Tarah Bajta Hi Raha,Chor Machaye Shor,Kishore Kumar
Le Jayenge Le Jayenge,Chor Machaye Shor,"Kishore Kumar, Asha Bhosle"
Sa Re Ga Ma,Chupke Chupke,"Kishore Kumar, Mohammed Rafi"
Ab Chahe Maa Roothe Ya Baba,Daag,"Lata Mangeshkar, Kishore Kumar"
Hum Aur Tum Tum Aur Hum,Daag,"Lata Mangeshkar, Kishore Kumar"
Mere Dil Mein Aaj Kya Hai,Daag,Kishore Kumar
Pyar Ka Dard Hai,Dard,"Kishore Kumar, Asha Bhosle"
Bujha Do Deepak,Darpan,Kishore Kumar
Sarakti Jaye Hai,Deedar E Yaar,"Kishore Kumar, Lata Mangeshkar"
Nazrana Bheja Kisi Ne Pyar Ka,Des Pardes,Kishore Kumar
Tu Pee Aur Jee,Des Pardes,Kishore Kumar
Chand Churake Laya Hoon,Devata,"Kishore Kumar, Lata Mangeshkar"
Gulmohar Gar Tumhara Naam Hota,Devata,"Kishore Kumar, Lata Mangeshkar"
Jeena Kya Aji Pyar Bina,Dhan Daulat,"Kishore Kumar, Asha Bhosle"
Ek Din Bik Jayega Mati Ke Mol,Dharam Karam,Kishore Kumar
Tere Chehre Mein Woh Jadoo Hai,Dharmatma,Kishore Kumar
Haye Re Haye Tera Ghunghta,Dhongee,"Asha Bhosle, Kishore Kumar"
Hum To Mohabbat Karega,Dilli Ka Thug,Kishore Kumar
Yeh Raaten Yeh Mausam,Dilli Ka Thug,"Kishore Kumar, Asha Bhosle"
Yeh Naina Yeh Kaajal,Dilsey Miley Dil,Kishore Kumar
Ae Oh Aa Zara Mudke,Disco Dancer,Kishore Kumar
Luk Chhip Luk Chhip Jao Na,Do Anjaane,Kishore Kumar
Tune Abhi Dekha Nahin,Do Aur Do Paanch,Kishore Kumar
Chahe Raho Door Chahe Raho Paas,Do Chor,"Kishore Kumar, Lata Mangeshkar"
Kali Palak Teri Gori,Ek Mahal Ho Sapnon Ka,"Kishore Kumar, Lata Mangeshkar"
Kali Palak Teri Gori,Do Chor,"Kishore Kumar, Lata Mangeshkar"
Meri Jaan Meri Jaan Kehna Mano,Do Chor,Kishore Kumar
Hawaon Pe Likhdo Hawaon Ke Naam,Do Dooni Chaar,Kishore Kumar
Mere Naseeb Mein Ae Dost,Do Raaste,Kishore Kumar
Are Diwano Mujhe Pehchano,Don,Kishore Kumar
Jiska Mujhe Tha Intezar,Don,"Lata Mangeshkar, Kishore Kumar"
Khaike Paan Banaras Wala,Don,Kishore Kumar
Yeh Hai Bambai Nagaria,Don,Kishore Kumar
Aa Chal Ke Tujhe,Door Gagan Ki Chhaon Men,Kishore Kumar
Jin Raaton Ki Bhor Nahin Hai,Door Gagan Ki Chhaon Men,Kishore Kumar
Koi Lauta De Mere Beete Huye Din,Door Gagan Ki Chhaon Men,Kishore Kumar
Panthi Hoon Main Us Path Ka,Door Ka Raahi,Kishore Kumar
Ankhon Mein Kajal Hai,Doosara Aadmi,"Lata Mangeshkar, Kishore Kumar"
Chal Kahin Door Nikal Jayen,Doosara Aadmi,"Lata Mangeshkar, Kishore"
Nazron Se Kah Do,Doosara Aadmi,"Lata Mangeshkar, Kishore Kumar"
Gaadi Bula Rahi Hai,Dost,Kishore Kumar
Dream Girl,Dream Girl,Kishore Kumar
Dooriyan Nazdikiyan Ban Gayi,Duniya,"Kishore Kumar, Asha Bhosle"
Sachchai Chhup Nahin Sakti,Dushman,Kishore Kumar
Vaada Tera Vaada,Dushman,Kishore Kumar
Dekha Hai Zindagi Ko,,Kishore Kumar
Dekha Hai Zindagi Ko,Ek Mahal Ho Sapnon Ka,Kishore Kumar
Tota Maina Ki Kahani,Fakira,"Kishore Kumar, Lata Mangeshkar"
Dukhi Man Mere,Funtoosh,"Kishore Kumar, Lata Mangeshkar"
Aap Ki Ankhon Mein Kuch,Ghar,"Kishore Kumar, Lata Mangeshkar"
Phir Wohi Raat Hai Khwab Ki,Ghar,Kishore Kumar
Shama Hai Suhana Suhana,Ghar Ghar Ki Kahani,Kishore Kumar
Aanewala Pal Janewala Hai,Golmaal,Kishore Kumar
Gaata Rahe Mera Dil,Guide,"Lata Mangeshkar, Kishore Kumar"
Peene Wale Ko Peene Ka Bahana,Haath Ki Safai,"Kishore Kumar, Hema Malini"
Chal Chal Chal Mere Saathi,Haathi Mere Saathi,Kishore Kumar
Dilbar Jani Chali Hawa Mastani,Haathi Mere Saathi,"Kishore Kumar, Lata Mangeshkar"
Sunja Aa Thandi Hawa,Haathi Mere Saathi,"Kishore Kumar, Lata Mangeshkar"
Aake Seedhi Lage Dil Pe Jaise,Half Ticket,Kishore Kumar
Ankhon Mein Tum Dil Mein Tum Ho,Half Ticket,"Kishore Kumar, Geeta Dutt"
Chand Raat Tum Ho Saath,Half Ticket,"Lata Mangeshkar, Kishore Kumar"
Chil Chil Chilla Ke,Half Ticket,Kishore Kumar
Hum Aur Tum The Saathi,Hamaare Tumhare,Kishore Kumar
Kanchi Re Kanchi Re,Hare Rama Hare Krishna,"Lata Mangeshkar, Kishore Kumar"
Phoolon Ka Taron Ka,Hare Rama Hare Krishna,Kishore Kumar
Tujh Sa Haseen,Harjaee,Kishore Kumar
Bahut Door Mujhe Chale Jana Hai,Heera Panna,"Lata Mangeshkar, Kishore Kumar"
Ek Paheli Hai Tu,Heera Panna,"Kishore Kumar, Asha Bhosle"
Main Tasveer Utarta Hoon,Heera Panna,Kishore Kumar
Panna Ki Tamanna Hai,Heera Panna,"Kishore Kumar, Lata Mangeshkar"
Ladki Nahin Tu Lakdi Ka Khamba Hai,Himmatwala,"Kishore Kumar, Asha Bhosle"
Nainon Men Sapna,Himmatwala,"Kishore Kumar, Lata Mangeshkar"
Taki Oh Taki,Himmatwala,"Kishore Kumar, Asha Bhosle"
Bachna Ae Hasinon Lo Main Aa Gaya,Hum Kisi Se Kum Nahin,Kishore Kumar
Dil Kya Mehfil Hai,Hum Kisi Se Kum Nahin,Kishore Kumar
Humko To Yara Hai Teri Yari,Hum Kisi Se Kum Nahin,"Kishore Kumar, Asha Bhosle"
Mil Gaya Humko Saathi Mil Gaya,Hum Kisi Se Kum Nahin,"Asha Bhosle, Kishore Kumar"
Ajnabi Tum Jane Pehchane Se,Hum Sab Ustad Hain,Kishore Kumar
Hum Tum Gumsum Raat,Hum Shakal,"Kishore Kumar, Asha Bhosle"
