Song,Film/Album,Artists
Ae Ri Pawan,Bemisal,Lata Mangeshkar
Kitni Khoobsoorat Yeh Tasveer Hai,Bemisal,Lata Mangeshkar
Jab Hum Jawan Honge,Betaab,"Lata Mangeshkar, Shabbir Kumar"
Chali Chali Re Patang,Bhabhi,Lata Mangeshkar
Dil Jo Na Keh Saka,Bheegee Raat,Lata Mangeshkar
Ae Phansa,Bobby,Lata Mangeshkar
Ankhiyon Ko Rahne De,Bobby,Lata Mangeshkar
Hum Tum Ek Kamre Mein,Bobby,Lata Mangeshkar
Mujhe Kuchh Kahna Hai,Bobby,Lata Mangeshkar
Dil Tera Hai Main Bhi Teri Hoon,Bombay To Goa,"Lata Mangeshkar, Kishore Kumar"
Tum Meri Zindagi Mein Kuchh,Bombay To Goa,"Lata Mangeshkar, Kishore Kumar"
Chadhti Jawani Meri Chaal Mastani,Caravan,Lata Mangeshkar
Dilbar Dil Se Pyare,Caravan,Lata Mangeshkar
Kitna Pyara Wada Hai,Caravan,Lata Mangeshkar
Simti Hui Yeh Ghadiyan,Chambal Ki Kassam,Lata Mangeshkar
Aa Meri Jaan,Chandni,Lata Mangeshkar
Mere Hathon Men Nau Nau Churiyan,Devata,
Mere Hathon Men Nau Nau Churiyan,Chandni,Lata Mangeshkar
Tere Mere Honthon Pe,Chandni,"Lata Mangeshkar, Babla Mehta"
Aaja Teri Yaad Aayee,Charas,Lata Mangeshkar
Kal Ki Haseen Mulaqat Ke Liye,Charas,"Lata Mangeshkar, Kishore Kumar"
Na Jane Kyon Hota Hai,Chhoti Si Baat,Lata Mangeshkar
Ek Daal Par Tota Bole,Chor Machaye Shor,Lata Mangeshkar
Aaja Sanam Madhur Chandni Men,Chori Chori,"Lata Mangeshkar, Manna Dey"
Rasik Balma Se Dil Kyon Lagaya,Chori Chori,Lata Mangeshkar
Yeh Raat Bheegi Bheegi,Chori Chori,"Lata Mangeshkar, Manna Dey"
Tumse Milke,Chor Police,Lata Mangeshkar
Ab Ke Sajan Sawan Mein,Chupke Chupke,Lata Mangeshkar
Chupke Chupke Chal Re Purbaiya,Chupke Chupke,Lata Mangeshkar
Ab Chahe Maa Roothe Ya Baba,Daag,"Lata Mangeshkar, Kishore Kumar"
Hum Aur Tum Tum Aur Hum,Daag,"Lata Mangeshkar, Kishore Kumar"
Jab Bhi Jee Chahe,Daag,Lata Mangeshkar
Na Jane Kya Hua,Dard,Lata Mangeshkar
Tu Mere Samne,Darr,"Lata Mangeshkar, Udit Narayan"
Hum Hain Matay-E-Koocha-O Bazar,Dastak,Lata Mangeshkar
Sarakti Jaye Hai,Deedar E Yaar,"Kishore Kumar, Lata Mangeshkar"
Chand Churake Laya Hoon,Devata,"Kishore Kumar, Lata Mangeshkar"
Gulmohar Gar Tumhara Naam Hota,,"Kishore Kumar, Lata Mangeshkar"
Gulmohar Gar Tumhara Naam Hota,Devata,"Kishore Kumar, Lata Mangeshkar"
Ajib Dastan Hai Yeh,Dil Apna Aur Preet Parai,Lata Mangeshkar
Ham Tere Pyar Mein,Dil Ek Mandir,Lata Mangeshkar
Ruk Ja Raat,Dil Ek Mandir,Lata Mangeshkar
Rasm-E-Ulfat Ko Nibhaye,Dil Ki Rahen,Lata Mangeshkar
Dil Tera Diwana Hai Sanam,Dil Tera Deewana,Lata Mangeshkar
Mujhe Kitna Pyar Hai Tumse,Dil Tera Deewana,Lata Mangeshkar
Ho Gaya Hai Tujhko To Pyar Sajna,Dilwale Dulhania Le Jayenge,"Lata Mangeshkar, Udit Narayan"
Mehndi Laga Ke Rakhna,Dilwale Dulhania Le Jayenge,"Lata Mangeshkar, Udit Narayan"
Mere Khwabon Mein,Dilwale Dulhania Le Jayenge,Lata Mangeshkar
Tujhe Dekha To,Dilwale Dulhania Le Jayenge,"Lata Mangeshkar, Kumar Sanu"
Ae Malik Tere Bande Hum,Do Aankhen Bara Haath,Lata Mangeshkar
Lo Aa Gayi Unki Yaad,Do Badan,Lata Mangeshkar
Aaja Ri Aa Nindiya Tu Aa,Do Bigha Zamin,Lata Mangeshkar
Chahe Raho Door Chahe Raho Paas,Do Chor,"Kishore Kumar, Lata Mangeshkar"
Kali Palak Teri Gori,Do Chor,"Kishore Kumar, Lata Mangeshkar"
Tumhari Nazar Kyon Khafa Ho Gayi,Do Kaliyan,Lata Mangeshkar
Bindiya Chamke Gi,Do Raaste,Lata Mangeshkar
Chup Gaye Sare Nazare,Do Raaste,Lata Mangeshkar
Dil Ne Dil Ko,Do Raaste,Mohammed Rafi
Jiska Mujhe Tha Intezar,Don,"Lata Mangeshkar, Kishore Kumar"
Ankhon Mein Kajal Hai,Doosara Aadmi,"Lata Mangeshkar, Kishore Kumar"
Chal Kahin Door Nikal Jayen,Doosara Aadmi,"Lata Mangeshkar, Kishore"
Nazron Se Kah Do,Doosara Aadmi,"Lata Mangeshkar, Manhar Udhas, Kishore Kumar"
Aawaz Do Humko,Dushman,"Lata Mangeshkar, Udit Narayan"
Chithi Na Koi Sandesh,Dushman,Lata Mangeshkar
Pyar Ko Ho Jane Do,Dushman,"Lata Mangeshkar, Kumar Sanu"
Ham Bane Tum Bane,Ek Duje Ke Liye,"Lata Mangeshkar, S.P.Balasubramaniam"
Hum Tum Dono Jab Mil Jayen,Ek Duje Ke Liye,"Lata Mangeshkar, S.P.Balasubramaniam"
Solah Baras Ki Bali Umar,Ek Duje Ke Liye,Lata Mangeshkar
Tere Mere Beech Men,Ek Duje Ke Liye,"Lata Mangeshkar, S.P.Balasubramaniam"
Na Tum Bewafa Ho,Ek Kali Muskayee,Lata Mangeshkar
Dil Mein Kisi Ke Pyar Ka,Ek Mahal Ho Sapnon Ka,Lata Mangeshkar
Dil Mein Tujhe Bithakar,Fakira,Lata Mangeshkar
Tota Maina Ki Kahani,Fakira,"Kishore Kumar, Lata Mangeshkar"
Mere Mitwa Mere Meet Re,Geet,Lata Mangeshkar
Aajkal Paon Zaamin Par Nahin Padte,Ghar,"Kishore Kumar, Lata Mangeshkar"
Aap Ki Ankhon Mein Kuch,Ghar,"Kishore Kumar, Lata Mangeshkar"
Tere Bina Jiya Jaye Naa,Ghar,Lata Mangeshkar
Ek Baat Kahoon Gar Mano Tum,Golmaal,Lata Mangeshkar
Aaj Phir Jeene Ki Tamanna Hai,Guide,Lata Mangeshkar
Gaata Rahe Mera Dil,Guide,"Lata Mangeshkar, Kishore Kumar"
Piya Tose Naina Lage Re,Guide,Lata Mangeshkar
Saiyan Be-Imaan,Guide,Lata Mangeshkar
Gumnaam Hai Koi Badnaam Hai Koi,Gumnaam,Lata Mangeshkar
Wada Kar Le Sajna,Haath Ki Safai,Lata Mangeshkar
Dilbar Jani Chali Hawa Mastani,Haathi Mere Saathi,"Kishore Kumar, Lata Mangeshkar"
Sunja Aa Thandi Hawa,Haathi Mere Saathi,"Kishore Kumar, Lata Mangeshkar"
Aaja Ki Intezar Mein,Halaku,Mohammed Rafi
Chand Raat Tum Ho Saath,Half Ticket,"Lata Mangeshkar, Kishore Kumar"
Betaab Dil Ki Tamanna Yehi Hai,Hanste Zakhm,Lata Mangeshkar
Tum Jo Mil Gaye Ho,Hanste Zakhm,Lata Mangeshkar
Zara Si Aahat Hoti Hai,Haqeeqat,Lata Mangeshkar
Kanchi Re Kanchi Re,Hare Rama Hare Krishna,"Lata Mangeshkar, Kishore Kumar"
Tere Liye Palkon Ki Jhalar,Harjaee,Lata Mangeshkar
