Song,Film/Album,Artists
Pagla Garad Kothay Achhe,Mouchak,"Manna Dey, Asha Bhosle, Chorus"
Ta Bole Ki Prem Debo Na,Mouchak,Manna Dey
Bone Ki Aagun Legechhe,Neel Dhrubatara,Hemanta Mukherjee
Ja Khushi Ora Bale Boluk,Nishipadma,Manna Dey
Na Na Na Aaj Raate Aar,Nishipadma,Manna Dey
Raatke Ghum Pariyechi,Old Bengali Songs,Sandhya Mukherjee
Durer Manush Kache Eso,Prithibi Amare Chay,Hemanta Mukherjee
Gharer Bandhan Chherei,Prithibi Amare Chay,Hemanta Mukherjee
Nilamwala Chhaana,Prithibi Amare Chay,Hemanta Mukherjee
Nishiraat Banka Chand Akashe,Prithibi Amare Chay,Geeta Dutt
Tumi Bina E Phagun,Prithibi Amare Chay,Geeta Dutt
Ami Sahebo Noi Golamo Noi,Priya Bandhabi,Hemanta Mukherjee
Emon Ekti Galpo Bolte Paro,Priya Bandhabi,Sandhya Mukherjee
Chand Dekhte Giye Ami,Sabai To Sukhi Hotey Chai,Manna Dey
Tumi Ele Anek Diner Pare,Sanchayan,Hemanta Mukherjee
Tumi Ele Anek Diner Pare,Sanchayan Hemanta Mukherjee,Hemanta Mukherjee
Bhalobasar Aagun Jwalaao,Sanyasi Raja,Manna Dey
Ghar Sangsar Sabai To Chay,Sanyasi Raja,Manna Dey
Hujoor Bole Selam Kore,Sanyasi Raja,Manna Dey
Ka Tabo Kanta,Sanyasi Raja,Hemanta Mukherjee
Kaharba Noy Dadra Bajao,Sanyasi Raja,Manna Dey
Karan Sebay Baran Karo,Sanyasi Raja,Manna Dey
Kato Rasik Dekho Bhagaban,Sanyasi Raja,Manna Dey
Ogo Beshi Daam Balo Kar,Sanyasi Raja,Manna Dey
Puja Ki Go Theme Jay,Sanyasi Raja,Manna Dey
Se Katha Ki Jane Indu,Sanyasi Raja,Manna Dey
Kono Natun Kichhu Katha,Sera Shilpi Sera Gaan,Hemanta Mukherjee
Hattim Attim Tim,Sera Shilpi Sera Gaan,Alpana Banerjee
Moner Naam Madhumati,Songs For The,Asha Bhosle
Duchokher Bristite Bhije Bhije,Sravan Sandhya,Sandhya Mukherjee
Dustu Hashi Misti Chaoa,Sravan Sandhya,Sandhya Mukherjee
Hazar Takar Jharbatita,Stree,"Manna Dey, Hemanta Mukherjee"
Khirki Tekhe Singhaduar,Stree,Hemanta Mukherjee
Sakshi Thakuk Jharapata,Stree,Hemanta Mukherjee
Jemon Sapinike Posh Manay Ojha,Stree,Manna Dey
Ogo Barsha Tumi Jhoro Na Go,Sundari Go Romantic Hits,Manna Dey
Jodi Kagoje Lekho Naam,Sur Jetha Chiradin Rabe,Manna Dey
Tarader Kane Kane,Sur Jetha Chiradin Rabe,Nirmala Mishra
Thuilam Re Mon Padmapatay,Sur Jetha Chiradin Rabe,Asha Bhosle
Nishirat Banka Chand Akashe,Sutapa Basu Nishi Raat,Sutapa Basu
Alo Aar Alo Diye,Swayamsiddha,Asha Bhosle
Ek Tajmahal Garo,Tar Aar Par Nei,Pintoo Bhattacharya
Dhup Chirodin,Trijama,Sandhya Mukherjee
Otho Otho,Aaro Dure Chalo Jai Balaji,"Balaji, Sanjivani, Sneha"
