Song,Film/Album,Artists
Holi Elo Re,Job Charnaker Bibi,Gouri Srimati
Kato Din Je Khunje Gelam,Kaatha Daao Bhulbe Nago,Mrinal Chakraborty
Hariye Jete Jete,Kakhano Megh,Arati Mukherjee
Tomay Dekhe Chhabi Enke,Kakhano Megh,Arati Mukherjee
Rupsagare Dub Diye,Katodin Pare Ele,Hemanta Mukherjee
Mayurkanthi Raater Neele,Manabendra All Time Greats,Manabendra Mukherjee
Aaj Holi Khelbo Shyam,Manjari Opera,Sandhya Mukherjee
Maron Tomar Har Holo Je,Manjari Opera,Manna Dey
Ami Taar Thikana Rakhini,Manna Dey Sabai To,Manna Dey
Bhiru Bhiru Chokhe Cheye Chole Gele,More Gems From,Shyamal Mitra
Naam Rekhechhi Bonolata,More Gems From,Shyamal Mitra
Oi Meghe Meghe,Mou Mukherjee Akash,Mou Mukherjee
Tumi Nirjan Upakule Nayikar Moto,Nach Mayuri Nach,Pintoo Bhattacharya
Prem Shudhu Ek Mombati,Nao Gaan Bhore,Pratima Banerjee
Chokher Jale Jadi,Ogo Mor Geetimoy,Sandhya Mukherjee
Ektu Chaoya Aar Ektu Paoya,Oi Sur Bhara Dur Nilimai,Geeta Dutt
Jhiri Jhiri Chaitali Batase,Oi Sur Bhara Dur Nilimai,Geeta Dutt
Krishnachura Agun Tumi,Oi Sur Bhara Dur Nilimai,Geeta Dutt
Ek Din Dal Bendhe,Picnic,Manna Dey
Kashmire Noy Shilongeo Noy,Picnic,Manna Dey
Keno Sarbanasher Nesha,Picnic,Asha Bhosle
Mon Metechhe Mon Mayurir,Picnic,Asha Bhosle
Ami Sree Sree Bhajohori Manna,Pratham Kadam Phul,Manna Dey
Deke Deke Chole Gechhi,Pratham Kadam Phul,Asha Bhosle
Ei Shahar Theke Aaro Anek Dure,Pratham Kadam Phul,Manna Dey
Kon Se Alor Swapna Niye,Pratham Kadam Phul,Asha Bhosle
Eto Baro Akashtake,Puja 85 Arundhati Holme,Arundhati Holme Chowdhury
Ek Jhank Pakhider Mato Kichhu Roddur,Sabai To Sukhi Hotey Chai,Manna Dey
Kathay Kathay Je Raat Hoye Jay,Sabai To Sukhi Hotey Chai,Manna Dey
Ektu Batas Chhilo,Sangini,Hemanta Mukherjee
O Katha Bolbo Na Shunbo Na Re,Sera Shilpi Sera Gaan,Sandhya Mukherjee
Bansh Baganer Mathar Opor Chand,Sera Shilpi Sera Gaan,Pratima Banerjee
Ki Name Deke Bolbo Tomake,Sera Shilpi Sera Gaan,Shyamal Mitra
Saat Ranga Ek Pakhi,Sera Shilpi Sera Gaan,Pratima Banerjee
Kajol Kajol Kumkum,Sera Shilpi Sera Gaan,Geeta Dutt
Aaj Mon Cheyechhe,Shankhabela,Lata Mangeshkar
Ami Agantuk,Shankhabela,Manna Dey
Ke Pratham Kachhe Esechhi,Shankhabela,"Manna Dey, Lata Mangeshkar"
Na Bole Esechhi,Solid Gold Arati,Arati Mukherjee
Chinechhi Chinechhi Tomar E Mon,Songs For The,Arati Mukherjee
Dure Dure Kachhe Kachhe,Teen Bhubaner Parey,Arati Mukherjee
Hoyto Tomari Janya,Teen Bhubaner Parey,Manna Dey
Jibane Ki Pabo Na,Teen Bhubaner Parey,"Manna Dey, Chorus"
Kono Ek Chena Pathe,Teen Bhubaner Parey,"Arati Mukherjee, Chorus"
Tomar Samadhi Phule Phule Dhaka,Tomader Bhalobasa Santanu,Santanu Roychowdhury
Sajanee Lo Dekhe Ja,Tomader Ganer Sabhay,Banasree Sengupta
Ekdin Dol Bendhe,Tomar Amar Thikana,Srabani Sen
Tomar Amar Thikana,Tomar Amar Thikana,Srabani Sen
