Song,Film/Album,Artists
Beder Meye Josna,Beder Meye Josna,"Runa Laila, Andrew Kishore"
Prem Jamunay,Beder Meye Josna,Sabina Yasmin
Aaj Bikeler Dake Tomar Chithi,Bengali Modern Songs,Banasree Sengupta
Porechhi Chanpa Dure Shari,Bengali Modern Songs,Banasree Sengupta
Duti Mon Aar Nei,Bengali Modern Songs Chitra,Chitra Singh
E Raater Ei Gaan,Bengali Modern Songs Chitra,Chitra Singh
Akashe Nei Tarar Deep,Bengali Modern Songs,Nirmala Mishra
Balo To Arshi Tumi,Bengali Modern Songs,Nirmala Mishra
Kakhan Je Prajapati,Bengali Modern Songs,Nirmala Mishra
O Amar Mon Pakhi,Bengali Modern Songs,"Satinath Mukherjee, Bishnupada Das"
Tumi Balechhile,,Subir Sen
Tumi Balechhile,Bengali Modern Songs Subir,Subir Sen
Amar Haat Dhore Tumi,Bengali Modren Songs,Pratima Banerjee
Je Bhalobasay Bholay More,Bengali Mordern Songs,Manna Dey
Chaichhe Chaichhe Mon,Best Of 2008,Jojo
Jharechhe Hriday,Best Of 2008,Rupankar Bagchi
Ek Janamer Ogo,Best Of Manabendra,Manabendra Mukherjee
Aajo Akasher Path Bahi,Best Of Sachin Dev Burman,S.D.Burman
Jhilmil Jhilmil Jhiler Jale,Best Of Sachin Dev Burman,S.D.Burman
Amar Sandhyapradip Jwalbe Anginay,Best Of Sreeradha Banerjee,Sreeradha Banerjee
Oi Sur Bhora Dur Neelimay,Best Of Sreeradha Banerjee,Sreeradha Banerjee
Jato Bhabna Chhilo,Bhalobasha Bhalobasha,Arundhati Holme Chowdhury
Khonpar Ei Golap Diye,Bhalobasha Bhalobasha,Sivaji Chatterjee
Tumi Jano Na Re Priyo,Bijoy Sarkarer Gaan,"Bani Chakraborty, Others"
Anmona Ei Mon,Boudi,Sandhya Mukherjee
Jadi Prashna Karo,Brake Fail,"Shaan, Shreya Ghoshal"
Ei Mon Harano,Buk Bhara Bhalobasa,Biswanath Mukherjee
Tumi Bojho Ami Bujhi,Cactus Bengali Band Songs,Cactus
Chupi Chupi Raat,Chalo Let'S Go,"Dipanwita Dutta, Rupankar Bagchi"
Prem To Kathar Katha Noy,Chalo Rina Tarun Banerjee,Tarun Banerjee
Dekhi Oi Hasir Jhilik,Chayanika,Manna Dey
"Barne, Gandhe, Chhande , Gitite",Chayanika Mone Rakha,S.D.Burman
Eka Mor Gaaner Tori Bhasiyechhilem,Chayanika Atulprosader,Suchitra Mitra
Ke Abar Bajay Banshi E Bhanga,Chayanika Atulprosader,Suchitra Mitra
Moner Duar Khule Ke,Chayanika Gems,Sipra Bose
Banshitar Ektai Dosh,Chayanika Hits Of 80S,"Sreeradha Banerjee, Satinath Mukherjee"
Aaj Mone Hoi Ei Niralay,Chayanika Hits Of,S.D.Burman
Mone Karo Mone Mone,Chirantan,"Chitra Singh, Nirmala Mishra"
Ki Dile Amay Tumi,Chitra Singh Katha Chhilo,Sreeradha Banerjee
Prithibir Du Kone Thaki,Chupi Chupi,Kumar Sanu
O Churi Rin Jhin,Churiwala,Alka Yagnik
Ki Rupe,Dadar Kirti,"Bitu Samajpati, Sanghamitra"
Uru Uru Mon Aar Duruduru Buk,Debibaran,"Bappi Lahiri, Chandrani Mukherjee"
Saat Sure Sa Shuru,Ding Dong,"Srikanto Acharya, Chorus"
Tokhon Tomar Ekush Bachhar,Dipanwita Dutta Amar,Cactus
Chhalaki Chhalaki Mon,Dustu Prajapati,Hemanta Mukherjee
Chhalaki Chhalaki Mon,Golden Hour Tarun Banerjee,Kumar Sanu
Aari Bhaab Aari Bhaab,Bengali Modern Songs Subir,"Bitu Samajpati, Amit Kumar"
Aari Bhaab Aari Bhaab,Duti Pata,"Bitu Samajpati, Amit Kumar"
Baare Baare,Dwando,Rupam Islam
Oi Lal Golapta Dao Na,Ek Gochha Rajanigandha,Lalita Dharchowdhury
Abar Dujane Dekha,Ek Gochha Rajanigandha,Dwijen Mukherjee
Abar Dujane Dekha,Indranil Sen Aha Chandrabali,Dwijen Mukherjee
Tomar Du Chokhe Amar Swapna,Ekta Gaan Likho Amar Janya,Pratima Banerjee
Tomay Keno Lagchhe Eto Chena,Ekta Gaan Likho Amar Janya,Pratima Banerjee
Chupi Chupi Chole Na Giye,Fira Kano Ala Na Begum,Begum Akhtar
Bakulgandhe Jodi Batas,Gaan Shudhu Gaan,Alpana Banerjee
Keu Katha Bolo Na Go,Gaan Shudhu Gaan,Nirmala Mishra
Aei Besh Bhalo,Gaanbela,Srikanto Acharya
Ek Muhurte,Gaanola Kabir Suman,Kabir Suman
Tomake Bhababoi,Gaanola Kabir Suman,Kabir Suman
Tomar Kathar Rang,Gaanola Kabir Suman,Kabir Suman
Tomar Sange Eka,Gaanola Kabir Suman,Kabir Suman
Chai Sudhu Tomay,Godfrey Philips India,Cactus
O Chand,Godfrey Philips India,Rupankar Bagchi
Duto Misti Kotha Shunte Elam,Golden Hour Dhananjay,Dhananjay Bhattacharya
Mon Je Khushi Khushi Aaj,Golden Hour Pratima,Pratima Banerjee
