Song,Film/Album,Artists
Keno Dako Tumi More,Chayanika,Shyamal Mitra
Keno Tumi Phire Ele,Chayanika,Shyamal Mitra
Lal Cheli Parane Taar,Chayanika,Shyamal Mitra
O Kalo Horin Chokhe,Chayanika,Shyamal Mitra
Surjo Aabar Uthlo,Chayanika,Shyamal Mitra
Tomader Bhalobasha Moroner Par Hote,Chayantika,Shyamal Mitra
Tomader Bhalobasha Moroner Par Hote,Chayanika,Shyamal Mitra
Tumi Chole Jabar Por,Chayanika,Shyamal Mitra
Ami Tomar Pashe Jemon Aachhi,Chayantika,Shyamal Mitra
Chaitiraater Purnima Chand,Chayantika,Shyamal Mitra
Ekti Kathai Likhe Jabo,Chayantika,Shyamal Mitra
Emon Din Aaste Pare,Chayantika,Shyamal Mitra
Jhiri Jhiri Piyaler Kunje,Chayantika,Shyamal Mitra
Jodi Dako Epar Hote,Chayantika,Shyamal Mitra
Mohul Phule Jomechhe Mou,Chayantika,Shyamal Mitra
O Shimul Bon Dao Rangiye Mon,Chayanika,Shyamal Mitra
O Shimul Bon Dao Rangiye Mon,Chayantika,Shyamal Mitra
Sarabela Aj Ke Dake,Chayantika,Shyamal Mitra
Tumi Bare Bare Sudhu,Chayantika,Shyamal Mitra
Chup Chup Chupi Chupi,Chupi Chupi,"Shyamal Mitra, Banasree Sengupta"
Ekhon Mon Niye Khela Kori,Daabi,"Arati Mukherjee, Shyamal Mitra"
Ami Cheye Cheye Dekhi,Deya Neya,Shyamal Mitra
Dole Dodul Dole Jhulana,Deya Neya,"Shyamal Mitra, Manabendra Mukherjee"
Gaane Bhuban Bhoriye Debe,Deya Neya,Shyamal Mitra
Jiban Khatar Prati Patay,Deya Neya,Shyamal Mitra
Bale Kuhu Kuhu Koyela,Dristi,Sandhya Mukherjee
Bhaber Hatey,Dub De Mon Kali Boley,Shyamal Mitra
Jharna Jharna,Duranta Charai,Shyamal Mitra
Ami Chanderi Sampan Jodi Pai,Dwiper Naam Tiyarang,Shyamal Mitra
Ee Bhara Raaite,Dwiper Naam Tiyarang,Shyamal Mitra
O Amar Moner Manish,Dwiper Naam Tiyarang,Shyamal Mitra
Sindur Mekhe Aakash Mare Lajjay,Ek Gochha Rajanigandha,Shyamal Mitra
O Nithur Dayamoy,Ekadashi,Shyamal Mitra
Ei Pathei Jiban,G. T. Road,Shyamal Mitra
Duti Ankhitara,Garh Nasimpur,Shyamal Mitra
Ei Prithibir Buke Aajo,Hathat Dekha,Shyamal Mitra
Dhin Tak Kurur Dhin Tak,Hits Of Salil Chowdhury,Shyamal Mitra
Cheye Cheye Dekhi,Hits Of Shyamal Mitra,Shyamal Mitra
Ei Matir Mayay Abar Phire Asbo Kina,Hits Of Shyamal Mitra,Shyamal Mitra
Jak Dhuye Jak Muchhe Jak,Hits Of Shyamal Mitra,Shyamal Mitra
Kaal Tahole Ei Samayei,Hits Of Shyamal Mitra,Shyamal Mitra
Na Na Go Na Balo Na,Hits Of Shyamal Mitra,Shyamal Mitra
Oi Padma Chokher Neel Jamunay,Hits Of Shyamal Mitra,Shyamal Mitra
Surjamukhi Surja Khonje,Hits Of Shyamal Mitra,Shyamal Mitra
Bolechhito Katobar,Jhiri Jhiri Batas Kande,Shyamal Mitra
