Song,Film/Album,Artists
Aa Aa Mere Dilruba,Aatish: Feel the Fire,"Kumar Sanu, Sapna Mukherjee, Sadhana Sargam, Alka Yagnik"
Dheela Pajama,Aatish: Feel the Fire,Kumar Sanu
Hasratein Hain Bahut Magar,Aatish: Feel the Fire,Kumar Sanu
Kaash Tum Mujhse Ek Baar Kaho,Aatish: Feel the Fire,Kumar Sanu
Khaate Hain Hum Kasam,Aatish: Feel the Fire,Kumar Sanu
Oh My Daddy,Aazmayish,"Kumar Sanu, Sonu Nigam"
Yeh Behki Behki Chaal,Ab Insaf Hoga,"Kumar Sanu, Alka Yagnik"
Kabhi Bindiya Banke,Ab... Bas!,"Kumar Sanu, Anuradha Paudwal"
Eena Meena Deekha,Abhi To Main Jawan Hoon,Kumar Sanu
Duniya Bhulake,Achanak,"Kumar Sanu, Alka Yagnik"
Tum Mujhe Bas Yun Hi,Aetbaar,"Kumar Sanu, Madhushree"
Tu Mere Pyar Ka,Agnee Morcha,"Kumar Sanu, Kavita Krishnamurthi"
Zameen Aur Aasman,Agneekaal,Kumar Sanu
Tu Meri Gulfam Hai,Agni Sakshi,"Kumar Sanu, Kavita Krishnamurthy"
Dil Dene Se Pehle Dobara Sochna,Agnichakra,"Kumar Sanu, Alka Yagnik"
Tune Mujhe Pukara,Agniputra,"Kumar Sanu, Anuradha Paudwal"
Oh Bamba Oh,Ahankaar,"Kumar Sanu, Sadhana Sargam"
Haul Haule Hum,Aisaa Kyon,"Kumar Sanu, Alka Yagnik"
Banna Ghodi Pe,Ajay,Kumar Sanu
Chaand Sa Chehra,Ajay,Kumar Sanu
Chamak Chhallo,Ajay,"Kumar Sanu, Jolly Mukherjee, Alka Yagnik, Sapna Awasthi"
Chanchal Churiyan,Ajay,Kumar Sanu
Daata Mere Daata,Ajay,Kumar Sanu
Deewana Hua Main,Ajay,Kumar Sanu
Ruk Majnu,Ajay,Kumar Sanu
Tera Pyar Hai Kya,Ajeeb Dastan Hai Yeh,"Kumar Sanu, Alka Yagnik"
Tune Waqt Hey Raqeeb Mere,Ajeeb Dastan Hai Yeh,Kumar Sanu
Jab Tumhe Aashiqui Maloom Hogi,Ajnabee,Kumar Sanu
Meri Zindegi Mein Aajnabee Ka,Ajnabee,"Kumar Sanu, Sunidhi Chauhan"
Aa Ke Manzil Pe,Ajnabi Saaya,Kumar Sanu
Jungle Mein Mangal,Ajnabi Saaya,Kumar Sanu
Mujhe Peene Ki Aadat Nahin,Ajnabi Saaya,Kumar Sanu
