Song,Film/Album,Artists
Phande Poriya Boga Kande Re,Chayanika Folk Songs,Abbasuddin Ahmed
Bondhuya Amar Chokhe Jal Enechhe,Chayanika Gems From,Jatileswar Mukherjee
Tumi Aar Nei Se Tumi,Chayanika Gems From,S.D.Burman
Akash Meghe Dhaka,Chayanika Hits Of 80S,Chitra Singh
Ogo Swapno Tumi Chole Jeyo Na,Chayanika Hits Of 80S,Haimanti Sukla
Jochhona Korechhe Arhi,Chayanika Ragashrayee,Begum Akhtar
O Tota Pakhi Re,Chhotoder Gaan,Nirmala Mishra
Keno Nayane Aabir Chharale,Chokhe Naamr Bristi Non,Haimanti Sukla
Amar Swapan Kinte Pare,Dipanwita Dutta Amar,Dipanwita Dutta
Nai Ba Holo Abar Dekha,Dron Ebong Ekalabya,"Haimanti Sukla, Nachiketa Chakraborty"
Ami Sohite Pari Na Bala,Dur Kono Porobase Sachin,S.D.Burman
Dur Kon Parabase Tumi,Dur Kono Porobase Sachin,S.D.Burman
Keno Je Emon Holo,Duti Pata,"Anup Ghoshal, Amit Kumar"
Khunjbe Amay Se Din,Ekhono Sarengita Bajchhe,Haimanti Sukla
Sajani Go Rajanike Chole Jete Daao,Ekta Gaan Likho Amar Janya,Pratima Banerjee
Kotodin Dekhini Tomay,,Firoza Begum
Kotodin Dekhini Tomay,Feroza Modern Tomare To,Firoza Begum
Phire Ja Phire Ja Bone,Fira Kano Ala Na Begum,Begum Akhtar
O Mor Nadi Re O Mor Tista,Folk Songs Of Bengal,"Nirmalendu Chowdhury, Party"
Jay Re E Ki Birahe,Gaan Shudhu Gaan,Nirmala Mishra
Keu Keu Boro Aka,Gaanbela,Srikanto Acharya
Jake Bhalobasi,Gaanola Kabir Suman,Kabir Suman
Jato Dure Jabe Bondhu,Gaanola Kabir Suman,Kabir Suman
Boner Chameli Phire Aay,,Pratima Banerjee
Boner Chameli Phire Aay,Ganer Majhe Benche Thakbo,Pratima Banerjee
"Sujan Re, Sei Je Gela",Ganga Amar Ma Padma,Runa Laila
Chupi Chupi Raatdin,Ghulam Ali Geener Ek,Ghulam Ali
Shudhu Tumi Ele Na,Godfrey Philips India,Cactus
Jibane Jodi Deep Jwalate,Golden Hour Satinath,Satinath Mukherjee
Katha Diye Keno Ele Na,Haimanti Sukla Bengali,Kumar Sanu
Katha Diye Keno Ele Na,Arundhati Smaran Nadir Pare,Arundhati Holme Chowdhury
Ami Abujher Moto A Ki Korech,Haimanti Sukla Tomai Mon,Sreeradha Banerjee
Adho Raate Jodi Ghum Bhenge,Harano Diner Nabageetika,"S.D.Burman, Anup Ghoshal"
Ghore Ferar Gaan,Hawa Bodol,Vishal Dadhlani
Raater Andhare Jwale,Hits Of 2007,"Sampa Kundu, Manabendra Mukherjee"
Aar Katokal Ami Saibo,Feroza Modern Tomare To,Pratima Banerjee
Aar Katokal Ami Saibo,Hits Of Kumar Sanu,Kumar Sanu
Amar Jibane Esechhilo Prem,Hits Of Kumar Sanu,Kumar Sanu
Bhalobashi Ami Bolte Parini,Hits Of Kumar Sanu,Kumar Sanu
Sob Raate Purnima Hoi Na,Hits Of Kumar Sanu,Kumar Sanu
Amake Tomar Bujhi Aar,Hits Of Manabendra,Manabendra Mukherjee
Ami Hariyechhi,Hits Of Manna Dey Modern,Manna Dey
Shunte Shunte,Hits Of Manna Dey Modern,Manna Dey
Ami Mela Theke Taalpatar,Hits Of Pratima Banerjee,Pratima Banerjee
Nirab Nijhum Nishiraat,Hits Of Pratima Banerjee,Pratima Banerjee
Sob-I Jodi Bhul,Hits Of Pratima Banerjee,Pratima Banerjee
Sob-I Jodi Bhul,Sachin Dev Burman Golden,Suman Kalyanpur
Jibon Nadir Kule Kule,Hridashoney Iman,Iman Chakraborty
Aare Geile Ki Aasiben,Icchhe Kore Collection Of,Pratima Barua
Ami Bhule Gechhi,Jaganmoy Mitra,Jaganmoy Mitra
Satti Bachhar Age,Ma Je Amar Aalor Aanchal,Jatileswar Mukherjee
Satti Bachhar Age,Jaganmoy Mitra Tumi,Pratima Barua
Satti Bachhar Age,Ganer Majhe Benche Thakbo,Pratima Banerjee
Satti Bachhar Pore,Jaganmoy Mitra Tumi Ki,Jaganmoy Mitra
Tumi Aaj Kato Durey,Jaganmoy Mitra Tumi Ki,Jaganmoy Mitra
Ami Phulke Jedin Dhore Bendhe,Jatileswar Mukherjee Kathay,Pintoo Bhattacharya
E Kon Sakal,Jatileswar Mukherjee Kathay,Jatileswar Mukherjee
Keno Janni Na Je Shudhu,Kaatha Daao Bhulbe Nago,Mrinal Chakraborty
Thung Thang Thung Thang Churir Taale,Kaatha Daao Bhulbe Nago,Mrinal Chakraborty
Tomar Biraha Chokhe Ane Jhol,Kaathaa Koyo Nako Sudhu,Hemanta Mukherjee
Kajal Nadir Jale,Kato Katha Prane Jage,Tarun Banerjee
Amake Jatoi Bhalobasona Keno,Katodin Pare Je Nijeke,Haimanti Sukla
Kiser Mor Raandhan,Keno Aasha Bendhe Rakhi,Mitali Singh
Sonar Ei Dingulo,Ki Emon Katha Manna Dey,Manna Dey
Tomay Je Naame Ami,,Manna Dey
Tomay Je Naame Ami,Ki Emon Katha Manna Dey,Manna Dey
Radhar Ki Halo Antare Byatha,Kirtan Sudh,Chhabi Banerjee
E Mon Byakul Jakhan Takhan,Kuasha Jakhan Nachiketa,Shikha Basu
Tumi Ki Ekhon Dekhichho Swapon,Kumar Sanu Bhalobasi Aami,Kumar Sanu
Eto Noy Shudhu Gaan,Kumar Sanu Sabar Priyo,Kumar Sanu
Mayamriga Samo,Kumar Sanu Sabar Priyo,Kumar Sanu
Tomari Pathpane Chahi,Kumar Sanu Sabar Priyo,Kumar Sanu
Kato Na Asare Kato Raat Dhare,Kumar Sanu Amaar,Kumar Sanu
Amar Gharer Chabi Parer Hate,Lalan Fakirer Gaan,Prahlad Brahmachari
Ami Ekdino Na Dekhilam Tare,Lalan Fakirer Gaan,Geeta Chowdhury
Chhelebelay Amay Jakhan,Ma Je Amar Aalor Aanchal,Manabendra Mukherjee
Mago Emon Hoy Na Keno,,Pratima Banerjee
Mago Emon Hoy Na Keno,Ma Je Amar Aalor Aanchal,Pratima Banerjee
Nithur Bidhi Re,Maa O Meye,Manna Dey
Phirey Aschhe,Madly Bangali,Ujjaini Mukherjee
Tania,Madly Bangali,Neel Dutta
Ami Je Kato Ekela,Manabendra All Time Greats,Manabendra Mukherjee
Katha Diye Gele Tobu Ele Na,Manabendra All Time Greats,Manabendra Mukherjee
Nai Chandan Lekha,Manabendra All Time Greats,Manabendra Mukherjee
Tumi Phiraya Diyechha Bole,Manabendra Mukherjee,Manabendra Mukherjee
Kal Kichhutei Ghum Elo Na,Manna Dey Swapane Baje,"Bhoomi, Manna Dey"
Kal Sararat Chokhe Ghum Chhilo Na,Matite Janma Nilam,Dhananjay Bhattacharya
Amay Keno Chinte Aajo,Meghmukti,Hemanta Mukherjee
Ki Je Holo,Mon Niye,Zubeen Garg
Bhule Gechhi Kabe Ei Pathe Jete,More Gems From Bengal,Manabendra Mukherjee
Kokhono E Pothey Hente Jeo,Na Hanyate Rupam Islam,Rupam Islam
Bhenge Jay Biswas,Nagar Baul Bengali Modern,
Boka Meye,Nagar Baul Bengali Modern,Kabir Suman
Boka Meye,Arundhati Smaran Nadir Pare,Arundhati Holme Chowdhury
Shesh Gachh,Nagar Baul Bengali Modern,Anjan Dutta
Chand Keno Aase Na,Naktala Udayan Sangha,Raghab Chatterjee
Halud Pakhi,Naktala Udayan Sangha,"Nachiketa Chakraborty, Cactus"
Hote Parto Anek Kichhui,Naktala Udayan Sangha,Nachiketa Chakraborty
Priyotama Mone Rekho,Naktala Udayan Sangha,Kumar Sanu
Baro Sadh Jage Ekbar Tomay Dekhi,Nao Gaan Bhore,Pratima Banerjee
Neel Rang Bhison Priyo,Neel Rang Chhilo Bhishan,Rupam Islam
Phiraye Dio Na More Shunya Haate,Nutaner Abhilasi,Ajoy Chakraborty
Nidayar Bandhudhan,Oki Maishal Re Folk Songs,Ayesha Sarkar
Ami Jare Chai Re,Orom Takiyo Na,Bhoomi
Bhasate Parli Na,Orom Takiyo Na,Bhoomi
Smriti,Orom Takiyo Na,Bhoomi
Andhakar Sudhu Andhakar,Padachinha,Manna Dey
Amar E Gharkhanay,Pakhi Kakhano Ure Jai,Amar Paul
Sei Gaan Keno Ami,Pompa,Vani Jairam
Ei Sunyota,Prapti,Shreyashi Mondal
Ei Sunyota,Ki Emon Katha Manna Dey,Manna Dey
Piya Bholo Abhimaan,Rager Bahare,Ajoy Chakraborty
Nijhum E Raate,Raghav Chatterjee Ek,Raghab Chatterjee
Tumi Nei Bole,Raghav Chatterjee Ek Bojhey,Raghab Chatterjee
Ami Apar Hoye Boshe Achhi,Rai Iman Chakraborty,Iman Chakraborty
Sonar Gour Kene Kende Elo,Rai Iman Chakraborty,Iman Chakraborty
Kachhe Ese Haryie Jaoa,Rajdrohi,"Udit Narayan, Alka Yagnik"
Tomader Kantar Mukut,Rajpurush,Manna Dey
Se Keno Re Kare Apronoy,Ram Kumar Chatterjee,Ramkumar Chatterjee
Ekla Anek Door,Ranjana Ami Ar Ashbona,Somlata Acharyya Chowdhury
Amar Kono Naam Diyo Na,Roddur,Srikanto Acharya
Moner Dukkha Koi Na Re,Rupbaan,Runa Laila
Pran Bondhu Re Dukhini Re,Rupbaan,Runa Laila
Sagar Kuler Naiya,Rupbaan,Runa Laila
Jani Na Phurabe Kabe Ei Path Chaoya,Sabar Uparey And,Sandhya Mukherjee
Baje Na Banshi,,S.D.Burman
Baje Na Banshi,Sachin Dev Burman Golden,S.D.Burman
Bhije Jaowa Din,Sada Kalo Rupankar Bagchi,Rupankar Bagchi
Palabo Kothay,,Rupankar Bagchi
Palabo Kothay,Sada Kalo Rupankar Bagchi,Rupankar Bagchi
Phherari Mon,Sada Kalo Rupankar Bagchi,Rupankar Bagchi
Maa Maa Bole Dakbo Na Aar,Sadhak Ramprasad,Dhananjay Bhattacharya
Neel Sagarer Dheu,Sagar,Kumar Sanu
Aar Kato Byatha Ami Pabo,Smritir Malika Gathi Firoza,Kumar Sanu
Aar Kato Byatha Ami Pabo,Samparka,Kumar Sanu
Na O To Chole Jete Pare Na,Sandhi,"Sreeradha Banerjee, Manna Dey"
Na O To Chole Jete Pare Na,Ma Je Amar Aalor Aanchal,Jatileswar Mukherjee
Na O To Chole Jete Pare Na,Arundhati Smaran Nadir Pare,Arundhati Holme Chowdhury
Jani Ekdin Amar Jibani Lekha Habe,Satinath Jalsay Satinath,Satinath Mukherjee
Amar Badal Din,Sei Shantachhayay Ghera,Sipra Bose
Mon Dilo Na Bondhu,Sera Shilpi Sera Gaan,S.D.Burman
Akash Ajana Tabu,Sera Shilpi Sera Gaan,Suman Kalyanpur
Amar Swapna Dekhar Duti Nayan,Sera Shilpi Sera Gaan,Suman Kalyanpur
Kande Keno Mon Aaj,Sera Shilpi Sera Gaan,Suman Kalyanpur
Ekhane,Shesh Boley Kichu Nei,"Kumar Sanu, Shaan"
Tumi Chole Gele,Shesh Boley Kichu Nei,Shaan
Mone Kanna Amar,Shikar,Kumar Sanu
Mone Kanna Amar,Sachin Dev Burman Golden,Suman Kalyanpur
"Bandhuya, Nid Nahi Ankhipaate",Smaran Jayati Chakraborty,"Jayati Chakraborty, Supratik Das"
Durashar Baluchare,Smaraniyo Adhunik Gaan,Suman Kalyanpur
Mone Karo Aami Nei,Smaraniyo Adhunik Gaan,Suman Kalyanpur
Ogo Abar Natun Kore,Smaraniyo Adhunik Gaan,Mukesh
Je Din Ami Haryen Jabo,Smriti Tabu Kumar Sanu,"Modern, Kumar Sanu"
Charon Phelio Dheere,Sada Kalo Rupankar Bagchi,Firoza Begum
Charon Phelio Dheere,Smritir Malika Gathi Firoza,Firoza Begum
Ei Ki Go Shesh Daan,,Firoza Begum
Ei Ki Go Shesh Daan,Smritir Malika Gathi Firoza,Firoza Begum
Jobe Esechhile Tumi Priyo,Smritir Malika Gathi Firoza,Firoza Begum
Siyarer Deep Jadi Ogo Nibhe Ase,Sachin Dev Burman Golden,Suman Kalyanpur
Siyarer Deep Jadi Ogo Nibhe Ase,Solid Gold Shymal Mitra,Alpana Banerjee
Jani Prithibi Amay Jabe Bhule,Sona Roder Gaan Pintoo,Pintoo Bhattacharya
Ekhan Rajani Aase,Songs By Bappi Lahiri,Bappi Lahiri
Enechhi Amar Shato Janomer Prem,Songs To Remember,Anup Ghoshal
Enechhi Amar Shato Janomer Prem,Songs To Remember Haimanti Sukla And Anup Ghosal,Anup Ghoshal
Prithibi Amare Chay,Songs To Remember,Anup Ghoshal
Prithibi Amare Chay,Songs To Remember Haimanti Sukla And Anup Ghosal,Anup Ghoshal
Mone Pare,Srikanta Acharya Mone Pare,Srikanto Acharya
Thomke Thaka Samay Take,Srikanta Acharya Mone Pare,Srikanto Acharya
Jibane Jare Tumi,Srimati Je Kande Kumar,"Shanu, Kumar Sanu"
Ogo Brishti Amar Chokher Pata,Sukher Dinguli Dure Chole,Haimanti Sukla
Sukher Dingulo Dure Chole Jay,Sukher Dinguli Dure Chole,Haimanti Sukla
Thikana Na Rekhe Bhaloi Korechho,Sukher Dinguli Dure Chole,
Tumi Ki Ekhon Dekhichho Swapan,Surasagar Jaganmoy Mitra,Jaganmoy Mitra
Tumi Elena Keno Elena,Surer Rajanigandha,Kumar Sanu
Sukh Tumi Kendona,Swapaner Rang,Pradip Chakraborty
Chale Jete Jete,Swapna Niye,"Swagatalakshmi Dasgupta, Sri-"
Chokher Jale Dhoabo Ma,The Incomparable Sachin,S.D.Burman
Chokher Jale Dhoabo Ma,Tarini Tara Ma,Kumar Sanu
Ankhi Duti Jhore Hay,The Incomparable Sachin,S.D.Burman
Ke Jaas Re,,Firoza Begum
Ke Jaas Re,The Incomparable Sachin,S.D.Burman
Sabai Chole Gechhe,Tomar Amar Thikana,Srabani Sen
Dukkha Amar Keu Bujhlona [1],Tomay Pabo Bole,Babul Supriyo
Beshi Kichu Asha Kara,Trishna,Jagjit Singh
Dure Aaro Dure,Tui Jabi Katodur Rupankar,Rupankar Bagchi
Tui Jabi Koto Dur,Tui Jabi Katodur Rupankar,Rupankar Bagchi
Jetuku Samay Tumi Thako Kachhe,Upahar,Bhupinder Singh
Aj Tumi Nei Bole,Arundhati Smaran Nadir Pare,Arundhati Holme Chowdhury
Aj Tumi Nei Bole,Utpal Chakraborty Melody,Satinath Mukherjee
