Song,Film/Album,Artists
Bhalo Kore Tumi Cheye Dekho,Puja Hits Volume 84,Lata Mangeshkar
Tomake Shonate E Gaan,Puja Hits Volume 84,Lata Mangeshkar
Tumi Pathar Chokheo Je Dristi,Puja Hits Volume 84,Lata Mangeshkar
Oi Gachher Patay Roder Jhikimiki,Raag Anurag,Lata Mangeshkar
Dekhona Amay Ogo Aayna,Ram Dhakka,Lata Mangeshkar
"Aparupa, Aparupa",Sera Pujor Gaan,Lata Mangeshkar
Antabihin Kate Na Aar Jeno,Sera Shilpi Sera Gaan,Lata Mangeshkar
Ogo Aar Kichhu To Naai,Sera Shilpi Sera Gaan,Lata Mangeshkar
Ore O Mon Moyna,Sera Shilpi Sera Gaan,Lata Mangeshkar
Prem Ekbari Esechhilo Neerabe,Sera Shilpi Sera Gaan,Lata Mangeshkar
Aakash Pradip Jwale,Serashilpi Seragaan,Lata Mangeshkar
Amar Malatilata Dole,Serashilpi Seragaan,Lata Mangeshkar
Kato Nishi Gechhe Nidhara,Serashilpi Seragaan,Lata Mangeshkar
Na Jeyo Na Rajani Ekhano,Serashilpi Seragaan,Lata Mangeshkar
Na Mon Lage Na,Serashilpi Seragaan,Lata Mangeshkar
O Jhar Jhar Jharna,Serashilpi Seragaan,Lata Mangeshkar
Eso Eso Priyo,Shanai,Lata Mangeshkar
Aaj Mon Cheyechhe,Shankhabela,Lata Mangeshkar
Ke Pratham Kachhe Esechhi,Shankhabela,"Manna Dey, Lata Mangeshkar"
Gopijan Monchor,Shes Parichay,Lata Mangeshkar
Kato Je Katha Chhilo,Shes Parichay,Lata Mangeshkar
Bristi Bristi Bristi,Sonar Khancha,Lata Mangeshkar
Ja Ja Ja Bhule Ja,Sonar Khancha,Lata Mangeshkar
Ekbar Bidaay De Ma,Subhas Chandra,Lata Mangeshkar
Rangila Banshite Ke Dake,Sur Jetha Chiradin Rabe,Lata Mangeshkar
Jaane Kya Baat Hai,Sunny,Lata Mangeshkar
Ami Je Ke Tomar,Anurager Chhowa,Lata Mangeshkar
Otho Otho Surjai Re,Anusandhan,Lata Mangeshkar
