Song,Film/Album,Artists
Amay Bhasaili Re,Bengali Folk Songs,Kumar Sanu
Prabhat Samay Kaale,Bengali Folk Songs,Kumar Sanu
Aay Aay Chorbi Ke Bhai,Bengali Folk Songs,Narottam Das Baul
Bangomata Go,Bengali Folk Songs,Narottam Das Baul
Kolir Pirit Cholchhe Re Bhai,Bengali Folk Songs,Narottam Das Baul
Loadsheddinger Jwala Ami Soite,Bengali Folk Songs,Narottam Das Baul
Emon Ekta Case,Bengali Folk Songs Runa,Runa Laila
Istishaner Railgarita,Bengali Folk Songs,Runa Laila
Ami Joydeber Melate Jabo,Bengali Folk Songs,Swapna Chakraborty
Amar Sonar Moina Pakhi,Bengali Folk Songs,Manasi Paul
Sonar Manush,Bengali Folk Songs,Prahlad Brahmachari
Sajaiya Dao Go Ma,Bengali Folk Songs,Amar Paul
Sonar Bandhali Nao,Bengali Folk Songs,"Utpalendu Chowdhury, Chorus"
Dhan Dhan Dhan Re,Bengali Puja Hits,Swapna Chakraborty
O Bhai Sei Deshe Mor Ghar,Bengali Puja Hits,Ansuman Roy
O Amar Pagla Ghora Re,Bengali Songs Sabina,Sabina Yasmin
O Majhi Nao,Bengali Songs Sabina,Sabina Yasmin
Oi Je Nadi Jayre,Bengali Songs Sabina,Sabina Yasmin
Uttar Dakshin,Bengali Songs Sabina,Sabina Yasmin
Bahu Punya Phale Krishna Mele,Best Of Purnadas Baul,Purnadas Baul
Bahu Punya Phale Krishna Mele,Best Of Purnadas Baul Gosthogopal Das And Swapan,Purnadas Baul
Baro Loker Biti,Best Of Purnadas Baul,Swapna Chakraborty
Baro Loker Biti,Best Of Purnadas Baul Gosthogopal Das And Swapan,Swapna Chakraborty
Chakkhu Dila Karmo Dila,Best Of Purnadas Baul,Swapna Chakraborty
Chakkhu Dila Karmo Dila,Best Of Purnadas Baul Gosthogopal Das And Swapan,Swapna Chakraborty
Champaker Haar Parali Kene,Best Of Purnadas Baul,Purnadas Baul
Champaker Haar Parali Kene,Best Of Purnadas Baul Gosthogopal Das And Swapan,Purnadas Baul
Eso Hey Gaurchandra,Best Of Purnadas Baul,Purnadas Baul
Eso Hey Gaurchandra,Best Of Purnadas Baul Gosthogopal Das And Swapan,Purnadas Baul
Jodi Ese Thako Hari,Best Of Purnadas Baul,Purnadas Baul
Jodi Ese Thako Hari,Best Of Purnadas Baul Gosthogopal Das And Swapan,Purnadas Baul
Olo Bar Elo,Best Of Purnadas Baul,Swapna Chakraborty
Olo Bar Elo,Best Of Purnadas Baul Gosthogopal Das And Swapan,Swapna Chakraborty
Ryal Garit Perin Gelo,Best Of Purnadas Baul,Swapna Chakraborty
Ryal Garit Perin Gelo,Best Of Purnadas Baul Gosthogopal Das And Swapan,Swapna Chakraborty
Chander Gaye Chand,Best Of Sahaj Ma,"Bikram Ghosh, Sarmistha Das Podder"
Dil Ki Daya,Best Of Sahaj Ma,Sarmistha Das Podder
Hridaye Rakhbo Hrid Kamale,Best Of Sahaj Ma,Sarmistha Das Podder
Hridi Hridkamale Bose Aachhen Sai,Best Of Sahaj Ma,Sarmistha Das Podder
Khejur Gachee Hari,Best Of Sahaj Ma,"Bikram Ghosh, Sarmistha Das Podder"
Menoka Mathay Delo Ghomta,Best Of Sahaj Ma,Sarmistha Das Podder
Milan Habe Kato Dine,Best Of Sahaj Ma,Sarmistha Das Podder
Nadike Bolte Gechhi,Best Of Sahaj Ma,Sarmistha Das Podder
O Mon Pakhi Re,Best Of Sahaj Ma,Bikram Ghosh
O Mon Tor Janya Akash Dilam,Best Of Sahaj Ma,"Bikram Ghosh, Sarmistha Das Podder"
Parojaname Hoiyo Radha,Best Of Sahaj Ma,Sarmistha Das Podder
Piriti Piriti Sahaj Katha Noy Go,Best Of Sahaj Ma,Sarmistha Das Podder
Premik Hao Premik Hole,Best Of Sahaj Ma,Sarmistha Das Podder
Rangeela,Best Of Sahaj Ma,"Bikram Ghosh, Sarmistha Das Podder"
Sahaj Na Hole Manush Ratan,Best Of Sahaj Ma,Sarmistha Das Podder
Rashik Amar Mon,Bhabiya Dekh Tor Mon,Utpalendu Chowdhury
Charilam Hasaner Nao,Bhati Gang Baiya,Tapan Roy
Bhole Baba,Bhoomi Paal Chhutechhe,Bhoomi
Amar Kanker Kalsi,Bihari Babu Sanajit Mondal,Sanajit Mondal
Ei Duniay Taka Kari,Bihari Babu Sanajit Mondal,Sanajit Mondal
Guru Jete Habe Barite,Bihari Babu Sanajit Mondal,Sanajit Mondal
Pan Khaiya Thot Lal,Chirodiner Priyo Gaan,"Nirmalendu Chowdhury, Party"
Pan Khaiya Thot Lal,Bihari Babu Sanajit Mondal,Sanajit Mondal
Allah Megh De,Bishnupada Das Nao,Bishnupada Das
Nao Chhariya De,,Bishnupada Das
Nao Chhariya De,Bishnupada Das Nao,Bishnupada Das
Amar Kachi Chhanata,Boli O Nanadi,Swapna Chakraborty
O Ranga Babure,Boli O Nanadi,Swapna Chakraborty
Shwasure Jamaiye Halud Phul,Boli O Nanadi,Swapna Chakraborty
Mon Re Tui Mukkhu Baro,Bonpalasir Padabali,Satinath Mukherjee
Gari Chale Na,,Dohar
Gari Chale Na,Chayanika Band Er Gaan,Dohar
Jaruiler Phule,Chayanika Band Er Gaan,Dohar
Keu Pherena Khali Haate,,Dohar
Keu Pherena Khali Haate,Chayanika Band Er Gaan,Dohar
Maya Laichhe Piriti Sikhaichhe,Chayanika Band Er Gaan,Madal
Nonadhara Khal,Chayanika Band Er Gaan,Bhoomi
Bairag Man Dekhna Cheye Dehatatta,Chayanika Folk Songs,Bishnupada Das
Deho Tari Chaira Dilam Go,Chayanika Folk Songs,Subodh Roy
Elo Re Chaitanyer Gari,Chayanika Folk Songs,Purnadas Baul
Roila Re Tor Sadher Dokandari,Chayanika Folk Songs,Bishnupada Das
Neem Tita Nishinda Tita,Chayanika Folk Songs,Nirmalendu Chowdhury
Sujan Re - Manush Chena Daay,Chirantan Bengali Folk,Nirmalendu Chowdhury
Naiya Re Sujan Naiya,Chirodiner Priyo Gaan,"Nirmalendu Chowdhury, Party"
De De Paal Tule De,De De Pal Tule De Amit,Guha
Dehotorir Go Man Koiro Na,Dehotori,"Tapan Roy, Chorus"
Chair Chije Pinjira Banai,Bishnupada Das Nao,Utpalendu Chowdhury
Chair Chije Pinjira Banai,Door Bideshi Naia Utpalendu,
Pagol Chara Duniya Choley Na,E Ki Ajob Karkhana,Mala
Joy Joy Bishhori,Epar Banglar Gaan Folk,Arundhati Holme Chowdhury
Bhakti Bhare Dakle Re Mon,Epar Banglar Gaan Folk,Manju Das
Bhangor Bhola Shib Tomar,Epar Banglar Gaan Folk,"Buddhadeb Roy, Party"
Mon Chalo Jai Bhramane,Epar Banglar Gaan Folk,"Manju Das, Purnadas Baul"
Amtalai Jhamur Jhumur,Folk Songs Of Bengal,"Pratima Banerjee, Sumitra Sen"
Bou Aar Jhal Jhailo Na,Folk Songs Of Bengal,"Nirmalendu Chowdhury, Party"
Musalman Bale Go Allah Go,Folk Songs Of Bengal,"Nirmalendu Chowdhury, Party"
Ranga Bou Machh Kute Re,Folk Songs Of Bengal,"Nirmalendu Chowdhury, Party"
Aamtalay Jhamur Jhumur,Folk Songs Of Bengal,"Pratima Banerjee, Sumitra Sen, Others"
Orom Takio Na,Godfrey Philips India,Bhoomi
Usthan Khusthan,Gopa Bose Bengali Song,Gopa Bose
Katoi Ranga Dekhi Duniyay,Chayanika Band Er Gaan,"Amar Paul, Nirmalendu Chowdhury, Party"
Katoi Ranga Dekhi Duniyay,Kato Raginir Bhul Bhangate,Amar Paul
Ami Sab Bhule Bhai,Hits Of 2007,Rathin Kisku
Bhromor Koyo Giya,Hridashoney Iman,Iman Chakraborty
Ekodino Uri Chali Jabo,Hridashoney Iman,Iman Chakraborty
Hridashoney Sajaiya,Hridashoney Iman,Iman Chakraborty
Krishnapreme Pora Deho,Hridashoney Iman,Iman Chakraborty
Phul Gachhte Lagaichhilam,Hridashoney Iman,Iman Chakraborty
Prabhat Samaye Sachir Angina Majhe,Hridashoney Iman,Iman Chakraborty
Talui Palanke Ghumaise,Hridashoney Iman,Iman Chakraborty
Gopal Re Tui Kothay,Idur Kale Beral Poreche,Sanajit Mondal
Indur Kale Biral Porechhe,Idur Kale Beral Poreche,Sanajit Mondal
E Baro Ajab Kudrati,Immortal Lalan,Pratima Banerjee
Prem Jano Na Premer Haate,Immortal Lalan,Arundhati Holme Chowdhury
Tomar Mato Dayal Bondhu,Immortal Lalan,Nirmalendu Chowdhury
