Song,Film/Album,Artists
Jodi Kandte Partam,Ga Gare Sandhya Mukherjee,Sandhya Mukherjee
Jaltaranga Baje,Ga Gare Sandhya Mukherjee,Sandhya Mukherjee
Ujjwal Ek Jhank Payra,Ga Gare Sandhya Mukherjee,Sandhya Mukherjee
Ami Lukate Parini Ashrulekha,Geetashree Ujjwal Ek,Sandhya Mukherjee
"O, Kuhu Kuhu Kuhu Dake Koyelia",Geetashree Sandhya,Sandhya Mukherjee
Anjali Laho Mor Sangite,Gems From,Sandhya Mukherjee
Anjali Laho Mor Sangite,Gems From Kazi Nazrul Islam,Sandhya Mukherjee
Biday Sandhya Asilo Oi,Gems From,Sandhya Mukherjee
Biday Sandhya Asilo Oi,Gems From Kazi Nazrul Islam,Sandhya Mukherjee
Aaj Krishnachurar Aabir Niye,Hangsamithun,Hemanta Mukherjee
Keno Eto Sundar Je Mone Hoy,Hangsamithun,Sandhya Mukherjee
Ei Chhande Chhande Bhara,High Heel,Hemanta Mukherjee
Madhuchandrer Chandan Makha,High Heel,Sandhya Mukherjee
Chokhe Chokhe Katha Bol,Jal Jangal,Sandhya Mukherjee
Amader Chhuti Chhuti,Jay Jayanti,"Sandhya Mukherjee, Chorus"
Ke Pratham Chande Gechhe,Jay Jayanti,"Sandhya Mukherjee, Chorus"
Keno Dako Bare Bare,Jay Jayanti,Sandhya Mukherjee
Harekrishna Naam Dilo,Eki Chandane Rekhechhe,Sandhya Mukherjee
Harekrishna Naam Dilo,Jaya,"Sandhya Mukherjee, Chorus"
Kono Katha Na Bole,Jibon Mrityu,"Manna Dey, Sandhya Mukherjee"
Keno Je Ke Jane,Jibon Saikate,Sandhya Mukherjee
Mero Na Mero Na Shyam,Jora Dighir,Sandhya Mukherjee
Mero Na Mero Na Shyam,Jora Dighir Chowdhury Paribar,Sandhya Mukherjee
Amari E Buke Kanna,Kalankini,Sandhya Mukherjee
O Mon Kakhan Shuru,Kamallata,"Shyamal Mitra, Sandhya Mukherjee"
Se Bine Aar Jane Na,Kamallata,"Shyamal Mitra, Sandhya Mukherjee"
Tomar Garabe Garabini,Kamallata,Sandhya Mukherjee
Ogo Bondhu Amar,Kasthi Pathar,Sandhya Mukherjee
Ami Taar Chhalanay Bhulbo Na,Ki Kori Sajani,Sandhya Mukherjee
"Tumi Nirmal Karo, Mangalo Karo",Kshamio He Shib,Sandhya Mukherjee
Ami To Tomare Chahini Jibane,Kshamio He Shib,Sandhya Mukherjee
Aaj Holi Khelbo Shyam,Manjari Opera,Sandhya Mukherjee
O Bak Bak Bakam Bakam Payra,Mayamrigo,Sandhya Mukherjee
Chaiti Phuler Ki Bandhis,More Gems From,Sandhya Mukherjee
Piya Piya Piya Ke Dake,More Gems From,Sandhya Mukherjee
Daradiya Je Tomare Eto Janay,Muktisnan,Sandhya Mukherjee
Gabhir Raate Jagi Khunji Tomare,Nana Ranger Nazrulgeeti,Sandhya Mukherjee
Ami Tomare Bhalobesechhi,Natun Jiban,Sandhya Mukherjee
Aaj Chanchal Mon Jodi,Nayika Sangbad,Sandhya Mukherjee
Ki Mishti Dekho Mishti,Nayika Sangbad,Sandhya Mukherjee
Natun Surya Alo Dao,Nayikar Bhumikai,Sandhya Mukherjee
Charon Phelio Dheere,Ogo Mor Geetimoy,Sandhya Mukherjee
Raatke Ghum Pariyechi,Old Bengali Songs,Sandhya Mukherjee
Aro Kichhu Khan Na Hoy Rahite Kachhe,Pathe Holo Deri,Sandhya Mukherjee
E Shudhu Gaaner Din,Pathe Holo Deri,Sandhya Mukherjee
Ei Sanjhjhara Lagane,Pathe Holo Deri,Sandhya Mukherjee
Prabhuji Tumi Dao Darshan,Pita Putra,Sandhya Mukherjee
Raag Je Tomar Misti,Pita Putra,Hemanta Mukherjee
Teer Bendha Pakhi Aar,Pita Putra,Sandhya Mukherjee
Tumi Kato Sundar,Pita Putra,Sandhya Mukherjee
Eto Sundar Ei Prithibi,Pratham Prem,Sandhya Mukherjee
Emon Ekti Galpo Bolte Paro,Priya Bandhabi,Sandhya Mukherjee
Aaju Rang Khelatu,Rajbadhu,Sandhya Mukherjee
Shanta Nadita Aaj,Reenmukti,"Sandhya Mukherjee, Saikat Mitra"
Ghum Ghum Chand Jhikimiki Tara,Sabar Upare,Sandhya Mukherjee
Janina Phurabe Kobe Ei Path Chaoa,Sabar Upare,Sandhya Mukherjee
Ankhi Jane Phul Keno Phote,Sagarika,Sandhya Mukherjee
Ei Madhuraat Shudhu Phul Papiar,Sagarika,Sandhya Mukherjee
