Song,Film/Album,Artists
Nishiraat Banka Chand Akashe,Prithibi Amare Chay,Geeta Dutt
Tumi Bina E Phagun,Prithibi Amare Chay,Geeta Dutt
Bukta Amar Juriye,Rakta Jaba,Sangeeta Dutta
Aaj Khela Bhangar Khela,Samar,Geeta Dutt
Gun Gun Sure,Samar,Geeta Dutt
Sundari Lo Sundari,Samar,"Geeta Dutt, Kishore Kumar"
Aayna Basa Churigulo,Sathihara,Geeta Dutt
Banshi Bujhi Sei Surey,Sathihara,Geeta Dutt
Jadu Bhara Oi Banshi Bajale Keno,Sathihara,"Hemanta Mukherjee, Geeta Dutt"
Kajol Kajol Chokhe,Sathihara,"Hemanta Mukherjee, Geeta Dutt"
Nachre Bandar Nach,Sathihara,Geeta Dutt
Katha Noy Aaji Raate,Satnambar Bari,Talat Mahmood
Ke Daake Amay,Satnambar Bari,Talat Mahmood
Kajol Kajol Kumkum,Sera Shilpi Sera Gaan,Geeta Dutt
Krishnanagar Theke Ami,Sera Shilpi Sera Gaan,Geeta Dutt
Adho Raate Jodi Ghum Bhenge Jay,Sera Shilpi Sera Gaan,Talat Mahmood
Elo Ki Natun Kono,Sera Shilpi Sera Gaan,Talat Mahmood
Je Ankhite Eto Hasi Lukano,Sera Shilpi Sera Gaan,Talat Mahmood
Ruper Oi Pradip Jwele,Sera Shilpi Sera Gaan,Talat Mahmood
Shono Go Sonar Meye,Sera Shilpi Sera Gaan,Talat Mahmood
Ei Mayabi Tithi,Sonar Harin,Geeta Dutt
Tomar Duti Chokhe,Sonar Harin,Geeta Dutt
Duti Pakhi Duti Teere,Songs To Remember,Talat Mahmood
Ghumer Chhaya Chander Chokhe,Songs To Remember,Talat Mahmood
Krishnanagar Theke Ami,Sur Jetha Chiradin Rabe,Geeta Dutt
Ami Natun Swapan Dekhi,Swaralipi,Geeta Dutt
Ami Shunechhi Tomari Gaan,Swaralipi,Geeta Dutt
Ei Raat Holo Kato Sundar,Swaralipi,Geeta Dutt
Gaaner Swaralipi,Swaralipi,Geeta Dutt
Sona Ghumalo Para Juralo,Swaralipi,Geeta Dutt
Mukhara Badal Dine,Talat Mahmood All,"Hemanta Mukherjee, Geeta Dutt, Talat Mahmood"
