Song,Film/Album,Artists
Maa Tor Kato Rango Dekhbo Bal,Bengali Top 25 Devotional,"Songs, Pannalal Bhattacharya"
Gurur Pade Prem-Bhakti,Best Of Purnadas Baul,Purnadas Baul
Gurur Pade Prem-Bhakti,Best Of Purnadas Baul Gosthogopal Das And Swapan,Purnadas Baul
Dub Dub Dub Rup-Sayare,Bhagwan Sri Sri Ramkrishna,Dhananjay Bhattacharya
Jayanti Mangalaa Kali,Bhakti Bandana Bibhu,Pankaj Kumar Mullick
"Bhubanomohini, Bondi Tomare",Bhubanomohini Raghab,Raghab Chatterjee
Chaowa Paowa Ja Kichhu Mor,Bhubanomohini Raghab,Raghab Chatterjee
Chetanay Aalo Diye,Bhubanomohini Raghab,Raghab Chatterjee
Kali Kali Bal Rasana,Bhubanomohini Raghab,Raghab Chatterjee
Ankhi Mor Krishna Rooper Piyasi,Bilwamongal,Manna Dey
De Ma Amay Tabildaari,Chayanika Shyamasangeet,Dwijen Chowdhury
Joy Ma Tara,Chayanika Shyamasangeet,Amrik Singh Arora
Mithye Tomay Dosh Deoya,Chayanika Various,Pannalal Bhattacharya
Amar Jiban Nadir Opaare,Chhuti,Pratima Banerjee
Amay Sakal Rakame Kangal Koriye,Chintamoyee Tara Tumi,Pannalal Bhattacharya
E Kemon Karuna Kali,Chintamoyee Tara Tumi,Pannalal Bhattacharya
Jodi Dakar Mato Paritam Dakte,Chintamoyee Tara Tumi,Pannalal Bhattacharya
Ke Hara Hridi-Majhe Bihare,Chintamoyee Tara Tumi,Pannalal Bhattacharya
Ma Go Ma Buk Bhora,Chintamoyee Tara Tumi,Pannalal Bhattacharya
Oder Mato Bolbo Na Ma,Chintamoyee Tara Tumi,Pannalal Bhattacharya
Eso Pranbharan,Dadar Kirti,Arundhati Holme Chowdhury
Amar Mayer Naamti Dayamoyee,Debitirtha Kamrup Kamakhya,Dhananjay Bhattacharya
Pathithoddharini Gange,Devotional Songs,M.S.Subbulakshmi
Mayer Paaye Jaba Hoye,Devotional Songs By,Pannalal Bhattacharya
Amar Chetana Chaitanya Kore,Devotional Songs Of,Pannalal Bhattacharya
Barshe Barshe Eso Jao,Durga Vandana,Chandrabali Rudra Dutta
He Chinmoyi,Durga Vandana,Tarun Banerjee
Hey Chamunde,Durga Vandana,Ajoy Chakraborty
Hey Kanakojjwal Sabitabarani,Durga Vandana,Chorus
Jago Durga Dashapraharanadharinee,Durga Vandana,Dwijen Mukherjee
Mahapran Jage,Durga Vandana,Raghab Chatterjee
Narayani Namastute,Durga Vandana,Birendrakrishna Bhadra
Ogo Amar Agamani-Alo,Durga Vandana,Sipra Bose
Sree Sree Chandi,Durga Vandana,Gobindagopal Mukherjee
Tabo Achintya Rupa-Charita-Mahima,Durga Vandana,Manabendra Mukherjee
Shivastrotra - Pashunang Pating,Edited Trasks From Om,Swagatalakshmi Dasgupta
Jodi Tor Hrid Jamuna Holo,Eka Mor Gaaner Taree,Krishna Chatterjee
Ogo Nithur Daradi,Eka Mor Gaaner Taree,Kanika Banerjee
Mago Daki Tomay,Sarbasrestha Saadhanaa,Haimanti Sukla
Girijapati,Haimanti Sukla Raage,Haimanti Sukla
Ghanatamasabrita Ambar Dharani,Homage Manna Dey,Manna Dey
Aaj O Mandire O Maa,Jaago He Ei Nagarbasi,Amar Paul
Adham Santaner Prati Karo Karuna,Jaago He Ei Nagarbasi,"Amar Paul, Chorus"
Prabhat Samaye Sachir Angina Majhe,Jaago He Ei Nagarbasi Amar,Amar Paul
Jai Ma Tara,Jai Ma Tara,"Nirmal Mukherjee, Chorus"
Satyam Shibam Sundaram Hey,Jeeban Trishna,Hemanta Mukherjee
Hey Govinda Rakhu Sharana,Joy Baba Felunath,Reba Muhuri
Tumi Karuna Dharay Eso,Jugabatar Loknath,Sreeradha Banerjee
Dayamoyee Tumi Ma,Kali Aamar Maa,Swagato Dey
Joy Joy Joy Kali Ma [2],Kali Aamar Maa,Srikanto Acharya
Aasaar Aasaa Bhabe Aasaa,Kali Kali Bal Rasana,Pannalal Bhattacharya
Tumi Amar Antasthaler Khabor Jano,Kantakabir Gaan Various,Chhabi Banerjee
Korechhi Pujar Aayojan,Karechhi Pujar Ayojan,Ramkumar Chatterjee
Basan Paro Ma Basan Paro,Bengali Songs Kumar Sanu,Kumar Sanu
Mayer Paayer Jaba Hoye,Mahishasura Mardini,
Mayer Paayer Jaba Hoye,Bengali Songs Kumar Sanu,Kumar Sanu
Sadanandamoyee Kali,Bengali Songs Kumar Sanu,Kumar Sanu
Sakali Tomari Ichchha,Matri Bandana,Madhuri Mukherjee
Sakali Tomari Ichchha,Bengali Songs Kumar Sanu,Kumar Sanu
Shyama Ma Ki Amar Kalo,Bengali Songs Kumar Sanu,Kumar Sanu
Tui Naki Ma Dayamoyee,Bengali Songs Kumar Sanu,Kumar Sanu
Hare Krishna Naam,Kusumo Dolae Chandrabali,Chandrabali Rudra Dutta
Trinayani Durga,Kusumo Dolae Chandrabali,Chandrabali Rudra Dutta
O Ma Dashabhujalaho Mor Puja,Laho Mor Puja Geetashree,Chhabi Banerjee
Mahakali,Ma Amar Anandamoyee,Mrityunjoy Banerjee
Mahakali,Ma Amar Anandamoyee Shatak Sera Shyama Sangeet,Mrityunjoy Banerjee
Byabharete Jana Gelo,Ma Amar Anandamoyee,Ramkumar Chatterjee
Byabharete Jana Gelo,Ma Amar Anandamoyee Shatak Sera Shyama Sangeet,Ramkumar Chatterjee
Jatane Hridaye Rekho Adarini Shyama,Ma Jar Anandamayee,Ajoy Chakraborty
Ma Jar Anandamoyee,Ma Jar Anandamayee,Ajoy Chakraborty
Matri Stotra,Ma Jar Anandamayee,Ajoy Chakraborty
Jashomati Janani Ke,Madhuro Dhani Anuradha,Anuradha Paudwal
Tumi Prabhu Tumi Priyajon,Madhuro Dhani Anuradha,"Anuradha Paudwal, Chorus"
Aham Rudrebhirvasubhischara,Mahishasura Mardini,Chorus
Akhila-Bimane Taba Jaya-Gane,Mahishasura Mardini,Krishna Dasgupta
Simhastha Sashisekhara,Mahishasura Mardini,Chorus
Ya Chandi,Bengali Songs Kumar Sanu,Kumar Sanu
Ya Chandi,Mahishasura Mardini,Chorus
Joy Jagajjanani,Matri Bandana,Madhuri Mukherjee
Joy Joy Durge Durgatiharini - Durga,,Anupam Ghatak
Devi Propannati Hare,Matri Stotra,"Rubi Gupta, Atanu Sanyal"
Dayal Tomar Anta Paowa Bhar,Mayar Sansar,Hemanta Mukherjee
Kunjobihari,Mayer Ashirbad,Asha Bhosle
Mangaldeep,Mayer Mahima Apar,Tultul Chowdhury
Pranam Tomay Ghanashyam,Mejdidi,Kanan Devi
Bal Ma Ki Achare Ki Mantra Bichare,Moneri Basana Shyama,Ramkumar Chatterjee
Ami Sanjivani Mantra Pelam,Moneri Basana Shyama,Ramkumar Chatterjee
Tumi Nirmala Karo,Mono Mandire,Sima Roy
Hey Chandrachur,Morutirtho Hinglaj,Hemanta Mukherjee
Mar Mamata E Kon Deshi,Mrinalkanti Ghosh Jagat,Mrinal Kanti Ghosh
Jnan O Bijnan Dayinee,New Bengali Songs Edited,Ramkumar Chatterjee
Sei Bhalo Maa Emni Karei,Nirbachita Shyama Sangeet,"Anuradha Paudwal, Satya Chowdhury"
Shyama Ma Tor Mundamala,Nirbachita Shyama Sangeet,Anupam Ghatak
Roilo Katha Tomari Nath,Ogo Nithur Daradi Songs Of,Kanika Banerjee
Hey Radhamadhab,Padmabati Jaydeb,Manna Dey
Joy Shivshankar - Shiva Stuti,Pannalal Mayer Payer Jaba,Pannalal Bhattacharya
Joy Shivshankar - Shiva Stuti,Pankaj Kumar Mullick All,Pankaj Kumar Mullick
Sakali Tomari Ichchha,Pannalal Mayer Payer Jaba,Pannalal Bhattacharya
Maa Jar Anandamoyee,Parampara Bengali Light,Classical
Kusum Dolay Dole Shyam Rai,Parineeta,"Pratima Banerjee, Chorus"
Sansare Jodi Nahi Pai Sara,Parineeta,Pratima Banerjee
Namaste Sharanye Shibe,Prahari,Hemanta Mukherjee
Mangaldeep Jwele,Pratidan,"Bappi Lahiri, Chorus"
Jay Jogendra-Jaya Mahamaya,Pujor Gaan Gaaner Pujo,Sabitabrata Dutta
Kanu Kahe Rai Kahite Darai,Purbaraagleela Chabi Biswas,Chhabi Banerjee
Prabhatkale Mayer Kole,Rai Jago Amar Paul,Amar Paul
Bondhu Tomar Garabe,Rai Kamal,Chhabi Banerjee
Mago Tara O Sankari,Raja Krishnachandra,Dhananjay Bhattacharya
Monre Krishi Kaaj Jano Na,Raja Krishnachandra,Dhananjay Bhattacharya
Ami Akriti Adham,Rajanikanter Gaan,Dilip Kumar Roy
Jodi Marame Lukaye Rabe,Rajanikanter Gaan,Krishna Chatterjee
Tumi Jagat Janani,Rakta Jaba,"Hemanta Mukherjee, Haimanti"
Hari Haraye Name,Ramkumar Chatterjee,Ramkumar Chatterjee
Gaya Ganga Prabhasadi,Rani Rashmani,Dhananjay Bhattacharya
Amar Mon-Bhramra Berhay,Sadhak Bamakshyapa,Manabendra Mukherjee
Kon Gune Tui Gunamoyeer,Sadhak Bamakshyapa,Dhananjay Bhattacharya
Mukto Karo Ma Muktakeshi,Sadhak Bamakshyapa,Dhananjay Bhattacharya
Emon Din Ki Hobe Ma Tara,Sadhak Ramprasad,Dhananjay Bhattacharya
Sura Paan Korine Ami,Sadhak Ramprasad,Dhananjay Bhattacharya
Thori Bhiksha Karke Lana,Sanyasi Raja,Manna Dey
E Maya Prapanchamoy,Sare Chuattar,Dhananjay Bhattacharya
Aay Re Sabai Maayer Pujay,Satyananda Divyageet,Ansuman Roy
Bhajo Ramkrishna,,Amar Paul
Bhajo Ramkrishna,Se Je Tor Mantragaaathaa,Amar Paul
Ram Ram Krishna Krishna,Se Je Tor Mantragaaathaa,Ansuman Roy
