Song,Film/Album,Artists
Benimadhab Benimadhab,Chayanika Gems,Lopamudra Mitra
Din Jay Din Chole Jay,Daaybhar Nachiketa,Nachiketa Chakraborty
Kichhu Rang,Dus Din Pore,Nachiketa Chakraborty
Din Sheshe Raatri Aase,Ei Agune Haat Rakho,Nachiketa Chakraborty
Ei Besh Bhalo Achhi,Ei Besh Bhalo,Nachiketa Chakraborty
Jakhan Samay Thamke Danray,Ei Besh Bhalo,Nachiketa Chakraborty
Keu Bale Buro Bham,Ei Besh Bhalo,Nachiketa Chakraborty
Kolkata,Ei Besh Bhalo,Nachiketa Chakraborty
Lal Phite Sada Moja,Ei Besh Bhalo,Nachiketa Chakraborty
Mon Diye Lekhapora Kare Jei Jon,Ei Besh Bhalo,Nachiketa Chakraborty
Sare Jahan Se Aachha,Ei Besh Bhalo,Nachiketa Chakraborty
Shunbo Na Gaan Shunbona,Ei Besh Bhalo,Nachiketa Chakraborty
Tumi Ki Amay Bhalobasho,Ei Besh Bhalo,Nachiketa Chakraborty
Aay Ke Jabi Aay,Ek Mutho Rod,"Lopamudra Mitra, Agantuk"
Jwale Buke Ki Aagun,Ekhon Takhon Nachiketa,Nachiketa Chakraborty
Intelectual,Ekla Cholte Hoi Nachiketa,Nachiketa Chakraborty
Khokon,Ekla Cholte Hoi Nachiketa,Nachiketa Chakraborty
Na Na Chai Na,Ekla Cholte Hoi Nachiketa,Nachiketa Chakraborty
Abar Aasibo Phire,Godfrey Philips India,Lopamudra Mitra
Amar Desh,Hari Hey Dinabandhu,Lopamudra Mitra
Bangla Amar Sorshe Ilish,Hari Hey Dinabandhu,Lopamudra Mitra
Chhoto Chhoto Swapner [1],Hathat Bristi,Nachiketa Chakraborty
Ekdin Swapner Din,Hathat Bristi,Nachiketa Chakraborty
Sonali Prantare,Hathat Bristi,Nachiketa Chakraborty
"Ekla Mon, Ei Mon",Ishq Baori,Nachiketa Chakraborty
Ishq Sadhana Ishq Kamaka,Ishq Baori,Nachiketa Chakraborty
Phooler Mato Kamal Tumi,Ishq Baori,Nachiketa Chakraborty
Jamunabati,Kabita Theke Gaan,Lopamudra Mitra
Palachchhe Deen Raatri.. Kothai Thambe,Khela,Nachiketa Chakraborty
Ek Boka Buror Galpo Shono,Kuasha Jakhan,Nachiketa Chakraborty
Its A Game,Kuasha Jakhan,Nachiketa Chakraborty
Kuasha Jakhan,Kuasha Jakhan,Nachiketa Chakraborty
Daakchhe Aakash,Lopamudra Mitra,"Lopamudra Mitra, Agantuk"
Dhadhina Natina,Lopamudra Mitra,Lopamudra Mitra
Mithye Rajar Deshe,Lopamudra Mitra,Lopamudra Mitra
Thamma,Lopamudra Mitra,Lopamudra Mitra
Ke Achho Kothay,Madly Bangali,Nachiketa Chakraborty
Bibhabari Jago,Naba Rupe Eso,Nachiketa Chakraborty
"Bish, Sudhu Bish Dao",Nachiketa Ambition Modern,Nachiketa Chakraborty
"Chor,Chor, Pratidin Churi Jay",Nachiketa Ambition Modern,Nachiketa Chakraborty
Kono Ek Meye,Nachiketa Chakraborty,Nachiketa Chakraborty
E Samay Asamay,Nachiketa Dalchhut,Nachiketa Chakraborty
Roj Ghum Theke Otha,Nachiketa Ke Jai,Nachiketa Chakraborty
Ke Rakhe Khoj,Nachiketar Ebar Nilanjan,Nachiketa Chakraborty
Na Mele Na,Nachiketar Ebar Nilanjan,Nachiketa Chakraborty
Jodi Hothat Aabar,Nachiketar Hothat Aabar,"Sudeshna Ganguly, Nachiketa Chakraborty"
Amader Janye,Nagar Baul Bengali,Nachiketa Chakraborty
Amader To Kichchhui,Nagar Baul Bengali,Nachiketa Chakraborty
Cofee House,Nagar Baul Bengali,Nachiketa Chakraborty
Briddhashram,Naktala Udayan Sangha,Nachiketa Chakraborty
E Mon Byakul Jakhon Takhan,Naktala Udayan Sangha,Nachiketa Chakraborty
Sraban Ghanay,Naktala Udayan Sangha,Nachiketa Chakraborty
Tumi Ashbe Bole,Naktala Udayan Sangha,Nachiketa Chakraborty
Purono Diner Gaan,Pran Khola Gaan,Nachiketa Chakraborty
Ghum Ashe Na,Samoyer Daanaay Nachiketa,Nachiketa Chakraborty
Jhar,Sarkari Karmachari,Nachiketa Chakraborty
Ami To Chhilam Besh,Sedin Chaitramas,Swagatalakshmi
Dure Tepantar [2],Sedin Chaitramas,Nachiketa Chakraborty
Jemon Dekho Tomar Chokher,Sedin Chaitramas,Nachiketa Chakraborty
Oi Je Pathe Urchhe Dhulo,Sedin Chaitramas,"Nachiketa Chakraborty, Swagatalakshmi Dasgupta"
Surjo Takei Dekhte Chay,Sedin Chaitramas,Lopamudra Mitra
Chena Shona Prithibita,Target,Nachiketa Chakraborty
Pagla Hawar Badol Dine,The Bong Connection,"Shreya Ghoshal, Nachiketa"
Dil Dariyar,We Believe In A Better,"Raghab Chatterjee, Nachiketa"
