Song,Film/Album,Artists
Hoyto Amake Karo Mone,Pratisodh,Kishore Kumar
Ki Kore Bojhai Toder,Proxy,Kishore Kumar
Ek Cup Cha,Puja Hits Volume 84,Kishore Kumar
Kato Madhur E Jibon,Puja Hits Volume 84,Kishore Kumar
Naam Amar Kishore Kumar Ganguly,Puja Hits Volume 84,Kishore Kumar
Bandha Dwarer Andhakare,Rajkumari,"Kishore Kumar, Asha Bhosle"
E Ki Holo,Rajkumari,Kishore Kumar
Kato Naree Achhe E Gokule,Rajkumari,"Asha Bhosle, Kishore Kumar"
Tobu Bole Keno Sahasai,Rajkumari,Kishore Kumar
Chokhe Chokh Rekhe,Rakta Jaba,Kishore Kumar
Ore Gyangar Gyang,Rakta Jaba,Kishore Kumar
Baba O Khoka,Rd Xclusive Collection,Kishore Kumar
Tak Dhin Dhin Ta,Sabarmati,"Kishore Kumar, Ila Basu"
Sundari Lo Sundari,Samar,"Chorus, Geeta Dutt, Kishore Kumar"
Aaj Mukhete Bolle Tumi,Sandhya Pradip,Kishore Kumar
Eto Kanna Eto Noy Gaan,Sankalpa,Kishore Kumar
E Jhumri Re - Cholechhi Eka,Sera Shilpi Sera Gaan,Kishore Kumar
Keno Tumi Chupi Chupi,Sera Shilpi Sera Gaan,Kishore Kumar
Amar Moner Ei Mayurmahale,Serashilpi Seragaan,"Geeta Dutt, Kishore Kumar"
Chalo Jai Chole Jai,Serashilpi Seragaan,Kishore Kumar
Tare Ami Chokhe Dekhini,Serashilpi Seragaan,Kishore Kumar
Balo Hori Hori Bole,Shesh Theke Shuru,Kishore Kumar
Haowa Megh Saraye Phul Jharaye,Shudhu Tomari Janya,Kishore Kumar
Bom Chik Bom Chik,Solid Gold,Kishore Kumar
Bom Chik Bom Chik,Solid Gold Rahul Dev Burman,Kishore Kumar
Jinisher Daam Barchhe,Triveni Amit Kumar Sanu,"Amit Kumar, Kishore Kumar"
Bom Bhole,Urbashi,Kishore Kumar
Najar Diyo Na,Urbashi,Kishore Kumar
Aro Kachhakachhi,Troyee,"Kishore Kumar, Asha Bhosle"
Jaana Ojana Pothe Cholechhi,Troyee,"Kishore Kumar, Asha Bhosle"
Ek Taanete Jemon Temon,Troyee,"Kishore Kumar, Swapan Chakraborty"
Ami Chini Go Chini Tomare,Charulata,Kishore Kumar
Ek Tuku Chhowa Laage,Ektuku Chhowa Laage,Kishore Kumar
Dhole Jete Jete,Lal Kuthi,"Kishore Kumar, Asha Bhosle"
Karo Keu Noiko Ami,Lal Kuthi,Kishore Kumar
Bidhir Badhan Katbe Tumi,Ghare Baire,Kishore Kumar
Chirodini Tumi Je Amar,Amar Sangi,Kishore Kumar
Kotha Acho Gurudev,Guru Dakshina,Kishore Kumar
Tomra Jotoi Aghat Koro,Guru Dakshina,Kishore Kumar
E Amar Gurudakshina,Guru Dakshina,Kishore Kumar
Bhalobasha Chhara Aar (male),Paap Punyo,Kishore Kumar
Amaroto Gaan Chhilo,Dolon Chapa,Kishore Kumar
Ore Mon Pagol,Dolon Chapa,Kishore Kumar
Aaj Ei Dintake,Antarale,Kishore Kumar
