Song,Film/Album,Artists
Aaiye Meharban,Howrah Bridge,Asha Bhosle
Abhi Na Jao Chhod Kar,Hum Dono,"Asha Bhosle, Mohammed Rafi"
Jahan Mein Aesa Kaun Hai,Hum Dono,Asha Bhosle
Hum Kisi Se Kum Nahin,Hum Kisi Se Kum Nahin,"Mohammed Rafi, Asha Bhosle"
Humko To Yara Hai Teri Yari,Hum Kisi Se Kum Nahin,"Kishore Kumar, Asha Bhosle"
Mil Gaya Humko Saathi Mil Gaya,Hum Kisi Se Kum Nahin,"Asha Bhosle, Kishore Kumar"
Ye Ladka Hay Allah Kaisa Hai Diwana,Hum Kisi Se Kum Nahin,"Asha Bhosle, Mohammed Rafi"
Woh Haseen Dard De Do,Hum Saya,Asha Bhosle
Hum Tum Gumsum Raat,Hum Shakal,"Kishore Kumar, Asha Bhosle"
Dhal Gaya Din Ho Gayi Sham,Humjoli,"Asha Bhosle, Mohammed Rafi"
Chhoti Si Kahani Se,Ijaazat,Asha Bhosle
Katra Katra,Ijaazat,Asha Bhosle
Khali Hath Sham Aai Hai,Ijaazat,Asha Bhosle
Mera Kuchh Samaan,Ijaazat,Asha Bhosle
Aur Is Dil Mein,Imaandaar,"Asha Bhosle, Suresh Wadkar"
Tere Haathon Mein,Jaani Dushman,"Mohammed Rafi, Asha Bhosle"
Baithe Hai Kya Uske Paas,Jewel Thief,Asha Bhosle
Raat Akeli Hai Bujh Gaye Die,Jewel Thief,Asha Bhosle
Barah Baje Ki Suiyon Jaise,Jhoota Kahin Ka,"Kishore Kumar, Asha Bhosle"
Jeevan Ke Har Mod Pe Mil Jayenge,Jhoota Kahin Ka,"Kishore Kumar, Asha Bhosle"
Tora Man Darpan Kahlaye,Kaajal,Asha Bhosle
Koi Aaya Aane Bhi De,Kaala Sona,Asha Bhosle
Sun Sun Qasam Se,Kaala Sona,"Asha Bhosle, Danny Denzongpa"
Janeman Janeman,Kaho Naa....Pyar Hai,Asha Bhosle
Aap Yahan Aaye Kisliye,Kal Aaj Aur Kal,"Asha Bhosle, Shamshad Begum, Kishore Kumar"
Hum Jab Honge Saath Saal Ke,Kal Aaj Aur Kal,"Kishore Kumar, Asha Bhosle"
Hamare Khwabon Ke,Kal Ki Awaz,Asha Bhosle
Tumhari Nazron Mein Humne Dekha,Kal Ki Awaz,"Asha Bhosle, Kumar Sanu"
Achha Ji Main Haari Chalo,Kala Pani,"Asha Bhosle, Mohammed Rafi"
Ek Hasina Thi Ek Diwana Tha,Karz,"Kishore Kumar, Asha Bhosle"
Diwana Hua Badal,Kashmir Ki Kali,"Asha Bhosle, Mohammed Rafi"
