Song,Film/Album,Artists
Ki Jadu Tomar Chokhe,Money Padey Ruby Roy,Asha Bhosle
Machher Kanta Khonpar Kanta,Money Padey Ruby Roy,Asha Bhosle
Age Ami Jodi Jantam,,Asha Bhosle
Age Ami Jodi Jantam,Pancham Tumi Kothay Asha,Asha Bhosle
Deke Deke Kato,,Asha Bhosle
Deke Deke Kato,Pancham Tumi Kothay Asha,Asha Bhosle
Jete Jete Pathe Holo Deri,Kichhu Bali Gaane Gaane,Asha Bhosle
Jete Jete Pathe Holo Deri,Pancham Tumi Kothay Asha,Asha Bhosle
Mone Pore Ruby Roy,Pancham Tumi Kothay Asha,Asha Bhosle
Phire Eso Anuradha,,Asha Bhosle
Phire Eso Anuradha,Pancham Tumi Kothay Asha,Asha Bhosle
Shono Ei To Samay,,Asha Bhosle
Shono Ei To Samay,Pancham Tumi Kothay Asha,Asha Bhosle
Shono Mon Boli Tomay,Pancham Tumi Kothay Asha,Asha Bhosle
Ekti Katha Hai Se Kailo Na,Phire Elam Asha Bhosle,Asha Bhosle
Jay Re Jay Re Bela Je Boye,Phire Eso Anuradha Rahul,"R.D.Burman, Asha Bhosle"
Chokhe Naame Brishti,Puja Hits Volume 84,Asha Bhosle
Akashe Surja Achhe Jatodin,Puja Hits Volume 84,Asha Bhosle
Ekta Deshlai Kathi Jwalao,Puja Hits Volume 84,Asha Bhosle
Dite Pari E Jiban,Purushottam,R.D.Burman
Aaj Gun Gun Gun Kunje Amar,Rajkumari,Asha Bhosle
Bandha Dwarer Andhakare,Rajkumari,"Kishore Kumar, Asha Bhosle"
E Ki Holo,Rajkumari,Kishore Kumar
Kato Naree Achhe E Gokule,Rajkumari,"Asha Bhosle, Kishore Kumar"
Ki Je Bhabi Elomelo,Rajkumari,Asha Bhosle
Tobu Bole Keno Sahasai,Pancham Tumi Kothay Asha,Kishore Kumar
Tobu Bole Keno Sahasai,Rajkumari,Kishore Kumar
Katha Diye Ele Na,,Asha Bhosle
Katha Diye Ele Na,Rd Xclusive Collection,Asha Bhosle
Baba O Khoka,Rd Xclusive Collection,Kishore Kumar
Jabo Ki Jabo Na,Rd Xclusive Collection,Asha Bhosle
Jete Dao Amay Dekona,Reshmi Churi Asha Bhosle,"R.D.Burman, Asha Bhosle"
Jete Dao Amay Dekona,Rd Xclusive Collection,Asha Bhosle
Ajar Baijan Ajar Baijan,Reshmi Churi Asha Bhosle,"R.D.Burman, Asha Bhosle"
Chaina Amar Reshmi Chudi,,Asha Bhosle
Chaina Amar Reshmi Chudi,Reshmi Churi Asha Bhosle,Asha Bhosle
E Jhumri Re - Cholechhi Eka,Sera Shilpi Sera Gaan,Kishore Kumar
Kine De Reshmi Churi,Serashilpi Seragaan,Asha Bhosle
Amar Malatilata Dole,Serashilpi Seragaan,Lata Mangeshkar
Phule Gandha Nei,Serashilpi Seragaan,Asha Bhosle
Chalo Chole Jai Haate Haat Rekhe,Sonar Juti Asha Bhosle And,"R.D.Burman, Asha Bhosle"
Dak Pathale Kaal Sakale,Sonar Juti Asha Bhosle And,"R.D.Burman, Asha Bhosle"
Ele Na Tumi Je,Sonar Juti Asha Bhosle And,R.D.Burman
Ki Kore Aasi Tomar Pashe,Sonar Juti Asha Bhosle And,Asha Bhosle
Aage Ami Jodi Jantam,Together Asha Bhosle And,R.D.Burman
"Sajani Go, Premer Katha",,R.D.Burman
"Sajani Go, Premer Katha",Together Asha Bhosle And,R.D.Burman
Tomar Katha Niye Ami,Together Asha Bhosle And,"Kishore Kumar, Asha Bhosle"
Tomar Katha Niye Ami,Tomar Katha Niye,R.D.Burman
