Song,Film/Album,Artists
Sukhe Thako Aar Sukhi Karo Sabe,Premer Milan Dine,Suchitra Mitra
Roy Je Kangal Shunya Haate,Purba Dam Seemar Majhe,Purba Dam
Sakal Belar Kunri Amar,Purbachaler Pane Takai,Suchitra Mitra
Gopan Prane Ekla Manush,Rabindra Sangeet,Suchitra Mitra
E Shudhu Alas Maya,Rabindra Sangeet Bengali,Rezwana Chowdhury Bannya
Krishnakoli Ami Tarei Boli,Rabindra Sangeet Bengali,Suchitra Mitra
Ei To Bhalo Legechhilo,Rabindra Sangeet Sankalan,Debabrata Biswas
Aamra Khuji Khelar Sathi,Nrityer Taletale Rabindra,Debabrata Biswas
Aamra Khuji Khelar Sathi,Rabindra Sankalan Shishu,Chorus
Amader Bhoy Kahare,Ore Mor Sishu Bholanath,Chorus
Amader Bhoy Kahare,Rabindra Sankalan Shishu,Chorus
Moder Jemon Khela,Rabindra Sankalan Shishu,"Bholanath, Child Artiste"
Ore Ore Ore Aamar Mon Metechhe,Rabindra Sankalan Shishu,Chorus
Sab Kaje Haat Lagai Mora,Rabindra Sankalan Shishu,Child Artiste
Amra Lakkhichharar Dal,Rabindrasangeeter Dhara,"Purabi Mukherjee, Santosh"
Rangiye Diye Jao Jao Go Ebar,Range Range Elo Holi,Sumitra Sen
Eso Eso Praner Utsabe,,Aditi Gupta
Eso Eso Praner Utsabe,Rare Gems From Tagore,Aditi Gupta
Bhalomanush Noi Re Mora,,Chorus
Bhalomanush Noi Re Mora,Ravi Ragini From Dramas,Chorus
Ananderi Sagar Hote,Raviragini,Esha Mitra
Ogo Tomra Sabai Bhalo,Raviragini,Ashoketaru Banerjee
Ami Sandhyadeeper Shikha,Raviragini,Sumitra Sen
Kamalboner Madhupraji,Raviragini,Dipankar Chatterjee
Duiti Hridoy Akati Ashon,Geetabitan Archive,Sutapa Chakraborty
Haater Dhula Soy Na Je Aar,Geetabitan Archive,Indrani Das
Jaha Pao Tai Lao,Geetabitan Archive,Sagnik Sen
Ohe Nabin Atothi,Geetabitan Archive,Sutapa Chakraborty
Sabare Kori Ahwan,Geetabitan Archive,Sagnik Sen
Hai Hai Re Hai Parabasi,Geetabitan Archive,Jayati Acharya
Ore Jete Hobe Jete Hobe Re,Geetabitan Archive,Jayati Acharya
Ore Shikal Tomay Kole Kore,Geetabitan Archive,Rahul Mitra
Phuralo Ebar Parikshar Ei Pala,Geetabitan Archive,Shreya Guhathakurta
Pakhi Bale Chaapa Amare Kao,Ritu Guha Songs Of,Ritu Guha
Tari Amar Hathat Dube Jay,Sabuj Pale Laglo Haoa,Subhosree Roy (Mukherjee)
Tomra Hasiya Bohiya Choliya Jao,Sagar Sen And Promit Sen,Sagar Sen
Adheko Ghume Nayan Chume,Sagar Sen Puja O Prem,Sagar Sen
Swapan-Parer Dak Shunechhi,Rare Gems From Tagore,Swagatalakshmi Dasgupta
Swapan-Parer Dak Shunechhi,Sanchayan,Kanika Banerjee
Sannyasi Je Jagilo Oi,Ravi Ragini From Dramas,
Sannyasi Je Jagilo Oi,Sanchayan Mohan Singh,Mohan Singh
Amay Khamo Hey Khamo Namo Hey,Sanchayan Swagatalakshmi,Swagatalakshmi Dasgupta
Pralaynachan Nachle Jakhan,Sanchayan Swagatalakshmi,
Ami Ekla Cholechhi Ei Bhabe,Solid Gold,Kanika Banerjee
Ogo Purabasi,Solid Gold,Kanika Banerjee
Amare Bandhbi Tora,Songs By Rano,Rano Guhathakurata
Je Kebol Paliye Beray,Songs Of Rabindranath,Pratima Mukherjee
Amar Jabar Samay Holo,Songs Of Rabindranath,Ritu Guha
Shubhodine Esechhe,Songs Of Rabindranath,Ritu Guha
Duar Mor Pathapashe,Songs Of Rabindranath,Suchitra Mitra
Tomar Asan Shunya Aaji,Songs Of Rabindranath,Sumitra Sen
Kothay Phiris,Songs To Remember Songs,Suchitra Mitra
Amar Andharpradip Shunya Pane,Songs To Remember,Hemanta Mukherjee
Matir Buker Majhe,,Kanika Banerjee
Matir Buker Majhe,Songs To Remember,Kanika Banerjee
Sudhasagartire Hey,Subinoy Roy Jagater,Subinoy Roy
"Kathin Loha,Kathin Ghume Chhilo",Suchitra Tagore Natyageeti,"Suchitra Mitra, Others"
Ami Chanchal He,Sudurer Piyasi Hemanta,Hemanta Mukherjee
Dinguli Mor Sonar Khanchay,Songs To Remember,Hemanta Mukherjee
Dinguli Mor Sonar Khanchay,Sudurer Piyasi Hemanta,Hemanta Mukherjee
Tarite Pa Di Ni,Sumitra Sen Chhutir,Sumitra Sen
Tumi Ki Keboli Chhabi,Surey Surey Sur Melate,Hemanta Mukherjee
Chahiya Dekho Raser Srote,Swapan Goutam Bhorer,Swapan Gupta
Aaj Taray Taray,Swapna Ghosal Madhur,Swapna Ghoshal
Ki Pai Ni Tari Hisab Milate,Syandhyarag,Dwijen Mukherjee
"Ore Majhi, Ore Amar Manabjanmatarir",Tabu Ananta Jage,Suchitra Mitra
Samukhe Shanti-Parabar,Tabu Ananta Jage,Suchitra Mitra
Nrityer Tale Tale,Tabu Money Rekho,Suchitra Mitra
Ami Phirbo Na Re Phirbo Na Aar,Tagore Songs,Purba Dam
Ami Shudhu Roinu Baki,Tagore Songs Krishna,Krishna Guhathakurata
Ami Shudhu Roinu Baki,Tagore Songs Krishna Guhathakurata Swapna Ghosal,Krishna Guhathakurata
Phire Phire Amay,Tomaar Sange Praner Khela,Ashoketaru Banerjee
Kantabonbiharini,Tridhara Chinmoy Chatterjee,Chinmoy Chatterjee
Kantabonbiharini,Tomare Paai Gaane,Mintoo Dasgupta
Se Kon Boner Harin,Ganer Surer Dhara,
Se Kon Boner Harin,Tridhara Chinmoy Chatterjee,Chinmoy Chatterjee
Ore Sabdhani Pathik,Tumi Sandhyar Meghamala,Arghya Sen
Ek Din Jara Merechhilo Tare Giye,Yubabarsher Gaan,Ashoketaru Banerjee
