Song,Film/Album,Artists
Jharapata Go Ami Tomari Dale,Chayanika Songs Of Tagore,Hemanta Mukherjee
Kon Puratan Praner Tane,Chayanika Tagore Songs,Purabi Mukherjee
Aaji Sharat Tapane Prabhat Swapane,Chayanika,Hemanta Mukherjee
Ami Pathbhola Ek Pathik Esechhi,Chaynika,Kanika Banerjee
Chale Chhalochhalo Nadidhara,Chaynika,"Sumitra Sen, Sagar Sen"
Ogo Bodhu Sundari,Chaynika,Dwijen Mukherjee
"Na, Jeyo Na, Jeyo Nako",Chinmoy Chatterjee Tagore,Chinmoy Chatterjee
Aaji Basanta Jagrata Dware,Chirakumar Sabha,Hemanta Mukherjee
Pohalo Pohalo Bibhabari,Ekante Tagore Songs,Srabani Sen
Ektuku Chhonwa Lage,Ektuku Chhonwa Lage,Kishore Kumar
Baishakher Ei Bhorer Haowa,Eso Hey Boishakh Seasonal,Swapan Gupta
Ananter Baani Tumi,Gaaner Jharnatalay Dwijen,Dwijen Mukherjee
Sedin Amay Bolechhile,Gaaner O Pare Amrita Datta,Amrita Dutta
Srabanbarishan Par Hoye,Hits Of 2007 Tagore Songs,Chorus
Srabanbarishan Par Hoye,Gaaner Opare Sriradha,Sreeradha Banerjee
Mor Beena Othe Kon Sure Baji,Gems From Tagore,Arundhati Holme Chowdhury
Biday Jakhan Chaibe Tumi,Gems From Tagore,Nilima Sen
Shaono Gagane Ghor Ghanoghata,Gems From Tagore,Lata Mangeshkar
Mora Bhangbo Taposh,Gitabitan Aditi Gupta And,Pubali Debnath
"Eso Hey Baishakh, Eso Eso",Golden Hour Chinmoy,Chinmoy Chatterjee
"Nai Ras Nai, Darun Dahanbela",Golden Hour Chinmoy,Chinmoy Chatterjee
Badal Meghe Maadal Baje,Golden Hour Tagore,Suchitra Mitra
Badal Meghe Maadal Baje,Golden Hour Tagore Seasonal Song Suchitra Mitra,Suchitra Mitra
Mor Bhabonare,Hawa Bodol,Saptarshi Mukherjee
Charonrekha Tabo,Hemanta Mukherjee,Hemanta Mukherjee
Eso Nipobone,Hemanta Mukherjee,Hemanta Mukherjee
