Song,Film/Album,Artists
Keno Jete Gele Jaoya,Jaya,Hemanta Mukherjee
Ami Tomar Majhe Pelam Khunje,Jiban Kahini,Hemanta Mukherjee
Ei Je Pother Ei Dekha,Joutuk,Hemanta Mukherjee
Moneri Kothati Ogo,Joutuk,Hemanta Mukherjee
Ei Pathe Mor,Kaatha Koyo Naako,Hemanta Mukherjee
Jaanitey Jodi Go Tumi,Kaatha Koyo Naako,Hemanta Mukherjee
Katha Koyo Nako Shudhu Shono,Kaatha Koyo Naako,Hemanta Mukherjee
Madhabir Swapane Eseche,Kaatha Koyo Naako,Hemanta Mukherjee
Mor Byaathaa Jamunaar Dui Tire,Kaatha Koyo Naako,Hemanta Mukherjee
Mor Sundarer Abhisare,Kaatha Koyo Naako,Hemanta Mukherjee
Sedin Nishithe Barishan Sheshe,Kaatha Koyo Naako,Hemanta Mukherjee
Tomaarey Chaahiyaa Priya,Kaatha Koyo Naako,Hemanta Mukherjee
Tomar Duarkhani Kholo,Kaatha Koyo Naako,Hemanta Mukherjee
Akash Mati Oi Ghumalo,Kaathaa Koyo Nako,Hemanta Mukherjee
Katha Chhilo Tomar Mala,Kaathaa Koyo Nako,Hemanta Mukherjee
Ami Jai Chale Jai,Kal Tumi Aleya,Hemanta Mukherjee
Bhaja Hoon Re Mon,Kamallata,Hemanta Mukherjee
Aar Kato Rohibo Sudhu Path Cheye,Katha Koyo Naako,Hemanta Mukherjee
O Duti Ankhi Jeno,Katha Koyo Naako,Hemanta Mukherjee
"Aasbe Na, Ta Nai Ba Ele",Katha Koyona Hemanta,Hemanta Mukherjee
Abak Prithibi Abak,Kathay Ba Sure,Hemanta Mukherjee
Ami Dur Hote Tomarei Dekhechhi,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Bonotal Phule Phule Dhaka,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Ekgochha Rajonigandha,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Jodi Jante Chao Tumi,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Kato Raaginir Bhul Bhangate,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Megh Kalo Andhar Kalo,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
O Akash Pradip Jwelo Na,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Ogo Megh Tumi Ure Jao,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Olir Katha Shune Bakul Hase,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Tarpar Tar Aar Par Nei,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Shanto Naditi Pate Anka Chhabiti,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Phuler Mato Phutlo Bhor,Katodin Pare Ele,Hemanta Mukherjee
Rupsagare Dub Diye,Katodin Pare Ele,Hemanta Mukherjee
Diye Gechhi Sabi,Kedar Raja,Hemanta Mukherjee
De Dol Dol,Kotha Koyonako,"Hemanta Mukherjee, Lata Mangeshkar, Chorus"
Shono Kono Ekdin,Kotha Koyonako,Hemanta Mukherjee
Naol Kishori Go,Kuhak,Hemanta Mukherjee
Gyaner Bodhu,Legend Hemanta Mukherjee,Hemanta Mukherjee
"Na Jeyo Na, Tumi Jeyo Na",Legends Hemanta Mukherjee,Hemanta Mukherjee
Muchhe Jaoa Dinguli,Lukochuri,Hemanta Mukherjee
Aaha Akashe Aaj,Madhya Raater Tara,Hemanta Mukherjee
Amar Prabhat Madhur Holo,Mayar Sansar,"Hemanta Mukherjee, Pratima Banerjee, Chorus"
Ghum Jay Oi Chand,Mayar Sansar,Hemanta Mukherjee
Bhalobese Diganta Diyechho,Mon Niye,Hemanta Mukherjee
Ogo Kajal Nayana Harini,Mon Niye,Hemanta Mukherjee
Ami Hote Parini Akash,Monihar,Hemanta Mukherjee
Ke Jeno Go Dekechhe Amay,Monihar,Hemanta Mukherjee
Nijhum Sandhyay Pantha,Monihar,Hemanta Mukherjee
Sab Katha Bola Holo,Monihar,Hemanta Mukherjee
Moner Janala Dhore Unki Diye,More Gems From,Hemanta Mukherjee
Pather Klanti Bhule,Morutirtho Hinglaj,Hemanta Mukherjee
Tomar Bhubone Mago,Morutirtho Hinglaj,Hemanta Mukherjee
Shamla Gaanyer Kajla Meye,Moyna,Hemanta Mukherjee
Aay Khuku Aay,Naktala Udayan Sangha,Hemanta Mukherjee
Ami Gaan Shonabo,Natun Jiban,Hemanta Mukherjee
Lajboti Nupurer Rini,Natun Jiban,Hemanta Mukherjee
Ei Purnima Raat,Nayeeka Sangbad,Hemanta Mukherjee
Neel Akasher Niche,Neel Akasher Neeche,Hemanta Mukherjee
"O Nadire, Ekti Katha",Neel Akasher Neeche,Hemanta Mukherjee
Bone Ki Aagun Legechhe,Neel Dhrubatara,Hemanta Mukherjee
Chokhe Jodi Jol Kare Talomal,Neel Dhrubatara,Hemanta Mukherjee
Din Chole Jay Sobi Badlay,Neel Dhrubatara,Hemanta Mukherjee
Aha Krishna Kalo,Palatak,Hemanta Mukherjee
Jibanpurer Pathik Re Bhai,Palatak,Hemanta Mukherjee
Jago Rai Kamalini,Parineeta,Hemanta Mukherjee
"Jeyo Na, Dnarao Bondhu",Phuleshwari,Hemanta Mukherjee
Phuleswari Phuleswari,Phuleshwari,Hemanta Mukherjee
Tapur Tupur Brishti Jhare,Phuleshwari,Hemanta Mukherjee
Raag Je Tomar Misti,Pita Putra,Hemanta Mukherjee
Durer Manush Kache Eso,Prithibi Amare Chay,Hemanta Mukherjee
Gharer Bandhan Chherei,Prithibi Amare Chay,Hemanta Mukherjee
Nilamwala Chhaana,Prithibi Amare Chay,Hemanta Mukherjee
Smarner Ei Balukabelai,Priyatama,Hemanta Mukherjee
Ami Gaan Gaai,Raag Anurag,Hemanta Mukherjee
Khela Amar Bhangbe Jakhan,Raag Anurag,Hemanta Mukherjee
Ki Gan Shonaho Balo,Raag Anurag,Hemanta Mukherjee
Tomader Kachhe Esechhilam,Raag Anurag,Hemanta Mukherjee
Jay Din Emni Jodi,Rai Bahadur,Hemanta Mukherjee
Shono Go Sajani,Sabarmati,Hemanta Mukherjee
Runner,,Hemanta Mukherjee
Runner,Sanchayan Hemanta,Hemanta Mukherjee
Pathe Ebar Namo Sathi Pathe Hobe,Sanchayan,Hemanta Mukherjee
Pathe Ebar Namo Sathi Pathe Hobe,Sanchayan Hemanta Mukherjee,Hemanta Mukherjee
Tomar Amar Karo Mukhe Katha Nei,Sanchayan,Hemanta Mukherjee
Tomar Amar Karo Mukhe Katha Nei,Sanchayan Hemanta Mukherjee,Hemanta Mukherjee
Tumi Ele Anek Diner Pare,Sanchayan,Hemanta Mukherjee
Tumi Ele Anek Diner Pare,Sanchayan Hemanta Mukherjee,Hemanta Mukherjee
Ka Tabo Kanta,Sanyasi Raja,Hemanta Mukherjee
Ei Path Jodi Na Shes Hoy,Saptapadi,Hemanta Mukherjee
Jadu Bhara Oi Banshi Bajale Keno,Sathihara,"Hemanta Mukherjee, Geeta Dutt"
Kajol Kajol Chokhe,Sathihara,"Hemanta Mukherjee, Geeta Dutt"
O Moyna Katha Kao,Sathihara,Hemanta Mukherjee
Amay Prashna Kare Neel Dhrubatara,Sera Shilpi Sera Gaan,Hemanta Mukherjee
Kono Natun Kichhu Katha,Sera Shilpi Sera Gaan,Hemanta Mukherjee
Maroner Mukhe Rekhe,Sera Shilpi Sera Gaan,Hemanta Mukherjee
Bose Achhi Path Cheye,Shap Mochan,Hemanta Mukherjee
Jhar Uthechhe Baul Batas,Shap Mochan,Hemanta Mukherjee
Shono Bandhu Shono,Shap Mochan,Hemanta Mukherjee
Surer Aakashe Tumi Je Go,Shap Mochan,Hemanta Mukherjee
Ei Balukabelay Ami Likhechhinu,Shes Parjyanta,Hemanta Mukherjee
Ei Meghla Dine Ekla,Shes Parjyanta,Hemanta Mukherjee
Keno Dure Thako,Shudhu Ekti Bachhar,Hemanta Mukherjee
Keno Dure Thako,Shes Parjyanta,Hemanta Mukherjee
Ei Jibaner Rang,Shudhu Ekti Bachhar,Hemanta Mukherjee
Mor Milan Piyashi Mon,Shudhu Ekti Bachhar,Hemanta Mukherjee
Swapno Jagano Raat,Sanchayan Hemanta,Hemanta Mukherjee
Swapno Jagano Raat,Shudhu Ekti Bachhar,Hemanta Mukherjee
Jibaner Naditate Dheu Bhenge Pare,Smaraner Ei Baalukaabelaay,Hemanta Mukherjee
Oi Badhir Jobonika,Smaraner Ei Baalukaabelaay,Hemanta Mukherjee
Shukno Shakhar Pata Jhore Jay,Smaraner Ei Baalukaabelaay,Hemanta Mukherjee
Sonali Champa Aar Rupali Chandrakala,Smaraner Ei Baalukaabelaay,Hemanta Mukherjee
Ke Jane Ka Ghanta,Sonar Khancha,Hemanta Mukherjee
Shudhu Bhalobasha Diye,Sonar Khancha,Hemanta Mukherjee
Thikana,Songs To Remember,Hemanta Mukherjee
Hazar Takar Jharbatita,Stree,"Manna Dey, Hemanta Mukherjee"
Khirki Tekhe Singhaduar,Stree,Hemanta Mukherjee
Sakshi Thakuk Jharapata,Stree,Hemanta Mukherjee
Ami Aaj Bhebechhi Mone,Subarna Golak,Hemanta Mukherjee
Paradeshi Kotha Jao,Sur Jetha Chiradin Rabe,Hemanta Mukherjee
Tumi To Jano Na,Suryatoran,Hemanta Mukherjee
Je Banshi Bhenge Gechhe,Swaralipi,Hemanta Mukherjee
Shunye Dana Mele,Tasher Ghar,Hemanta Mukherjee
