Song,Film/Album,Artists
Ogo Kajal Nayana Harini,Mon Niye,Hemanta Mukherjee
Pather Klanti Bhule,Morutirtho Hinglaj,Hemanta Mukherjee
Besh Korechhi Prem,Mouchak,Asha Bhosle
Ebar Mole Suto Hobo,Mouchak,Manna Dey
Pagla Garad Kothay Achhe,Mouchak,"Manna Dey, Asha Bhosle, Chorus"
Ei Purnima Raat,Nayeeka Sangbad,Hemanta Mukherjee
Keno E Hriday Chanchal Holo,Nayeeka Sangbad,Sandhya Mukherjee
Ki Mishti Dekho Mishti,Nayeeka Sangbad,Sandhya Mukherjee
Pranbhara Swapna,Nishaan,"Kishore Kumar, Chandrani Mukherjee"
Tumi Je Premer,Nishaan,"Kishore Kumar, Arati Mukherjee"
Ja Khushi Ora Bale Boluk,Nishipadma,Manna Dey
Na Na Na Aaj Raate Aar,Nishipadma,Manna Dey
Aro Kichhu Khan Na Hoy Rahite Kachhe,Pathe Holo Deri,Sandhya Mukherjee
E Shudhu Gaaner Din,Pathe Holo Deri,Sandhya Mukherjee
Aaj Milan Tithir Purnima Chand,Pratisodh,Kishore Kumar
Hoyto Amake Karo Mone,Pratisodh,Kishore Kumar
Gharer Bandhan Chherei,Prithibi Amare Chay,Hemanta Mukherjee
Nishiraat Banka Chand Akashe,Prithibi Amare Chay,Geeta Dutt
Ami Sahebo Noi Golamo Noi,Priya Bandhabi,Hemanta Mukherjee
O Majhi Re,Raat Bhor,Shyamal Mitra
E Jeno Ajana Ek Path,Rajkanya,Shyamal Mitra
Nei Sei Purnima Raat,Rajkanya,Asha Bhosle
Aaj Gun Gun Gun Kunje Amar,Rajkumari,Asha Bhosle
Bandha Dwarer Andhakare,Rajkumari,"Kishore Kumar, Asha Bhosle"
E Ki Holo,Rajkumari,Kishore Kumar
Kato Naree Achhe E Gokule,Rajkumari,"Asha Bhosle, Kishore Kumar"
Ki Je Bhabi Elomelo,Rajkumari,Asha Bhosle
Tobu Bole Keno Sahasai,Rajkumari,Kishore Kumar
Ghum Ghum Chand Jhikimiki Tara,Sabar Upare,Sandhya Mukherjee
Janina Phurabe Kobe Ei Path Chaoa,Sabar Upare,Sandhya Mukherjee
Amar Shwapne Dekha Rajkanya,Sagarika,Shyamal Mitra
Ei Madhuraat Shudhu Phul Papiar,Sagarika,Sandhya Mukherjee
Ei To Amar Pratham Phagun Bela,Sagarika,Sandhya Mukherjee
Bhalobasar Aagun Jwalaao,Sanyasi Raja,Manna Dey
Ka Tabo Kanta,Sanyasi Raja,Hemanta Mukherjee
Kaharba Noy Dadra Bajao,Sanyasi Raja,Manna Dey
Ei Path Jodi Na Shes Hoy,Saptapadi,"Hemanta Mukherjee, Sandhya Mukherjee"
Jadu Bhara Oi Banshi Bajale Keno,Sathihara,"Hemanta Mukherjee, Geeta Dutt"
Kajol Kajol Chokhe,Sathihara,"Hemanta Mukherjee, Geeta Dutt"
Aaj Mon Cheyechhe,Shankhabela,Lata Mangeshkar
Ami Agantuk,Shankhabela,Manna Dey
Ke Pratham Kachhe Esechhi,Shankhabela,"Manna Dey, Lata Mangeshkar"
Bose Achhi Path Cheye,Shap Mochan,Hemanta Mukherjee
Jhar Uthechhe Baul Batas,Shap Mochan,Hemanta Mukherjee
Surer Aakashe Tumi Je Go,Shap Mochan,Hemanta Mukherjee
Tumi Je Amar,Shilpi,Sandhya Mukherjee
Swapno Jagano Raat,Shudhu Ekti Bachhar,"Kishore Kumar, Arati Mukherjee, Hemanta Mukherjee"
Moner Madhuri Mishaye,Smritituku Thak,Sandhya Mukherjee
Bristi Bristi Bristi,Sonar Khancha,Lata Mangeshkar
Ja Ja Ja Bhule Ja,Sonar Khancha,Lata Mangeshkar
Ore Amar Mon,Sonar Khancha,Dwijen Mukherjee
Shudhu Bhalobasha Diye,Sonar Khancha,Hemanta Mukherjee
Duchokher Bristite Bhije Bhije,Sravan Sandhya,Sandhya Mukherjee
Hazar Takar Jharbatita,Stree,"Manna Dey, Hemanta Mukherjee"
Khirki Tekhe Singhaduar,Stree,Hemanta Mukherjee
Shunye Dana Mele,Tasher Ghar,Hemanta Mukherjee
Aaro Dure Chalo Jai,Chhadmabeshi,Asha Bhosle
