Song,Film/Album,Artists
Tabo Premsudharase Metechhi,Ekante Tagore Songs,Srabani Sen
Hey Mahajiban Hey Mahamaron,Ekla Chalo Re,Suchitra Mitra
Je Raate Mor Duarguli,Emon Diney Taare Bola Jaay,Hemanta Mukherjee
Aaj Bujhi Aailo Priyotamo,Esechho Prem,Kamalini Mukherjee
Amar Praner Manush Aache Prane,Esechho Prem,"Amrita Dutta, Kamalini Mukherjee"
Sakatare Oi Kandichhe Sakole,Gaaner O Pare Amrita Datta,"Dola Banerjee, Amrita Dutta"
Tumi Khushi Thako,Gaaner O Pare Amrita Datta,Amrita Dutta
Aaro Aaro Prabhu Aaro,Gaaner Surer Dhara,Suchitra Mitra
Jete Jodi Hoy Hobe,Gabhir Rajani Namilo,Banani Ghosh
Amar Pathe Pathe Pathar Chharano,Ganer Surar Dhara,Suchitra Mitra
Aakashe Dui Hate Prem Bilaay O Ke,Geeta Sen Bengali,Geeta Sen
Abar Era Ghirechhe Mor Mon,Geetanjali,Subinoy Roy
Aasa Jaoyar Majhkhane,Gems From Tagore,Suchitra Mitra
Amare Tumi Ashesh Korechho,Gems From Tagore,Purba Dam
Dhwanilo Ahwban,Gitanjali Beyond Shores,Rezwana Chowdhury Bannya
Aar Nai Re Bela Song Rezwana,,Lopamudra Mitra
Kolahol To Baron Holo Srabani Sen,Gitanjali Beyond Shores,Srabani Sen
Prabhu Toma Lagi,Gitanjali Beyond Shores,Rezwana Chowdhury Bannya
Tomar Amar Ei Biraher Antarale,Hemanta Golden Hour,Hemanta Mukherjee
Mor Hridayer Gopan Bijan Ghare,Hemanta Mukherjee,Hemanta Mukherjee
Amar Matha Nato Kore Dao,Hemanta Mukherjee,Hemanta Mukherjee
Sangsar Jabe Mon Kere Loy,Hemanta Mukherjee,Hemanta Mukherjee
Khelar Chhale Sajiye Amar Gaaner Bani,Hemanta Mukherjee,Hemanta Mukherjee
Khelar Chhale Sajiye Amar Gaaner Bani,Hey Mor Debata Sagar Sen,
Ami Jakhan Tnar Duare,,Sumitra Sen
Ami Jakhan Tnar Duare,Hey Mor Debata Sagar Sen,Sumitra Sen
Aaji Jato Tara Tabo Akashe,Hits Of 2007 Tagore Songs,Sreeradha Banerjee
Aponare Diye Rochili,Hits Of 2007 Tagore Songs,Rezwana Chowdhury Bannya
Amare Daak Dilo Ke,Hriday Aasane Rakhi Sen,Rakhi Sen
Sundar Bate Tabo Angadkhani,Indrani And Indranil,Indrani Sen
Gabhir Rajani Namilo Hridaye,Indrani Sen Tagore,Indrani Sen
Akarane Akale Mor Porlo Jakhan Daak,Jaak Chhide Mityar Jaal,Sailen Das
Anek Diyechho Nath,Jiboner Dhrubatara,Dwijen Mukherjee
Amar Bichar Tumi Karo Tabo Apan Kare,Kaan Pete Roi Lopamudra,Lopamudra Mitra
Ami Kaan Pete Roi,Kaan Pete Roi Lopamudra,Lopamudra Mitra
Megh Bolechhe Jabo Jabo,Kaan Pete Roi Lopamudra,Mitra
Raatri Ese Jethay Meshe,Kabi Pranam Volume 2008,Jayati Chakraborty
Aami Sansare Mon Diyechhinu,Kabikantha And Rabin-,Rabindranath Tagore
Amare Ke Nibi Bhai,Kabikantha And,"Arati Mukherjee, Rabindranath Tagore"
Andhajane Deho Alo,Kabikantha And Rabin-,Rabindranath Tagore
Nisharo Swapan Chhutlo Re,Kanan Debi Rabindrasangeet,"Kanan Devi, Hemanta Mukherjee"
Bhengechho Duar Esechho,Kancher Swargo,Dwijen Mukherjee
Biswabeena Rabe,Ke Jabi Jayati Chakraborty,Jayati Chakraborty
"Danrao, Mon, Ananta",Khelaghar Bnadhte Legechhi,Santosh Sengupta
"Danrao, Mon, Ananta",Ke Jabi Jayati Chakraborty,Jayati Chakraborty
Alpo Loiya Thaki Tai,Khelaghar Bnadhte Legechhi,Santosh Sengupta
Tomar Khola Haowa,Khola Haowa Dola Banerjee,Dola Banerjee
Amar Na-Bala Banir,Madhur Madhur Dhwani Baje,Purba Dam
Amar Ja Achhe Ami Sakal Dite,Mita Huq Se Aasibee Tagore,Mita Huq
Ami Jakhan Chhilem Andha,Mita Huq Se Aasibee Tagore,Mita Huq
"Bajao Tumi, Kabi",Mohan Singh Tabo Prem,Mohan Singh
E Moho-Abaran,Moho Abaran Aditi Gupta,Aditi Gupta
Aamar Dhala Gaaner Dhara,Moner Majhe Je Gaan Baaje,Rezwana Chowdhury Bannya
Tomay Natun Kore Pabo Bole,Moner Majhe Je Gaan Baaje,Rezwana Chowdhury Bannya
Amar E Ghare Apanar Kare,More Gems From Tagore,Arghya Sen
Sajani Sajani Radhikalo,Musical Journey With,Kanika Banerjee
Mon Jago Mangalloke,Naba Anande Jago Morning,"Jayati Chakraborty, Banani Ghosh"
Jiban Maroner Simana Chharaye,Naba Naba Sure,Hemanta Mukherjee
Aaji Enechhe Tanhari Ashirbad,Naba Rupe Eso Nababarsher,Banani Ghosh
Nabo Anande Jago Aaji,Naba Rupe Eso,Hemanta Mukherjee
Ei Je Heri Go Debi Amari,New Bengali Songs Edited,Hemanta Mukherjee
Dure Kothay Dure Dure,Nimantran,Kanika Banerjee
Aaj Aloker Ei Jharnadharay,Niti Nritye Swagatalakshmi,Swagatalakshmi Dasgupta
Aaj Aloker Ei Jharnadharay,Hey Mor Debata Sagar Sen,Swagatalakshmi Dasgupta
Ashrunadir Sudur Pare,Noukadubi,Hemanta Mukherjee
Amay Doshi Karo,Nutan Pran Dao Suchitra,Suchitra Mitra
Nutan Pran Dao,Nutan Pran Dao Suchitra,Suchitra Mitra
Aaji Raaj-Aasane,O Agam O Gabhir Rahul,Rahul Mitra
Aji Heri Sansar Amritomoy,O Agam O Gabhir Rahul,Rahul Mitra
Ananda Royechhe Jaagi,O Agam O Gabhir Rahul,Rahul Mitra
Ami Tarei Jani Tarei Jani,Ogo Antarjami,Purba Dam
Apnake Ei Jana Amar Phurabe Na,Oi Malatilata Dole,Sagar Sen
Amar Prane Gobhir Gopan,Pankaj Kumar Mullick Tagore,Pankaj Kumar Mullick
Amar Hriday Tomar Aapan Haater Dole,Parabat Priya,"Santu Mukherjee, Arundhati"
Mahabishe Mahakashe,Path Bhola,Kingshuk Shilpigoshthi
Sarba Kharbo Tare,Patriotic Songs of,"Hemanta Mukherjee, Utpala Sen"
Ami Marer Sagar Pari Debo,Praner Khela Iman,Iman Chakraborty
Amar Kantha Tare Dake,Puja Prem O Prakiti,Purba Dam
Tumi Kemon Kore Gaan Karo Hey Guni,Rabi Kabir Gaane,Lopamudra Mitra
Ami Hethay Thaki Shudhu,Rabindra Sangeet,Subir Sen
Kshata Jato Kshati Jato,Rabindra Sangeet,Suchitra Mitra
Tumi Achho Kon Para,Rabindra Sangeet 2,Ashoketaru Banerjee
Tumi Je Amare Chao,Rabindra Sangeet 2,Debarati Shome
Amareo Karo Marjana,Rabindra Sangeet 3,Ritu Guha
E Ki Labonye Purna Pran,Rabindra Sangeet Bengali,Ritu Guha
Gahanakusumkunja Majhe,Rabindra Sangeet Bengali,Rezwana Chowdhury Bannya
Nayan Tomare Pay Na Dekhite,Rabindra Sangeet Bengali,Arjun Chakraborty
Pran Bhoriye Trisha Horiye,Rabindra Sangeet Bengali,Dwijen Mukherjee
Aamar Milan Lagi Tumi,Rabindra Sangeet Sankalan,Kanika Banerjee
Amar Majhe Tomari Maya,Rabindra Sangeet Sankalan,Suchitra Mitra
Amar Sakal Raser Dhara,Rabindra Sangeet Sankalan,"Swapan Gupta, Hemanta Mukherjee"
Bela Gelo Tomar Path Cheye,Rabindra Sangeet Sankalan,Suchitra Mitra
Diner Belay Banshi,Rabindra Sangeet Sankalan,Suchitra Mitra
Har Manale Go,Rabindra Sangeet Sankalan,Suchitra Mitra
Shudhu Tomar Bani Noy Go,Rabindra Sangeet Sankalan,Hemanta Mukherjee
Aalo Je Jai,Rabindra Sangeet,Purba Dam
Dakilo More Jagar Sathi,Rabindra Sangeet,Chinmoy Chatterjee
"Nami Nami, Bharati",Sanchayan Swagatalakshmi,"Hemanta Mukherjee, Chorus"
"Nami Nami, Bharati",Rabindra Sanget Prabha,"Hemanta Mukherjee, Chorus"
Pratham Juger,Rabindra Sanget Prabha,Indira Shilpigoshthi
Bhuban-Jora Asankhani,Rabindra Sankalan,Sumitra Sen
Jago Aalas-Shayan-Bilagna,Rabindra Sankalan,Lopamudra Mitra
Amar Godhuli Lagan Elo Bujhi Kachhe,Rabindranath Tagore,Hemanta Mukherjee
Surer Guru Dao Go,Rabindrasangeeter Dhara,"Manju Gupta, Tarun Banerjee"
"Ki Gabo Ami, Ki Shunabo",Rabiragini,"Hemanta Mukherjee, Arundhati"
Asim Kalsagare,Raginir Ghate,Supratik Das
Jete Jete Ekla Pathe,Raginir Ghate,Supratik Das
Aaji Bijan Ghare Nishitha Rate,Raho Sathe Iman,Iman Chakraborty
Biswasathe Joge Jethay Biharo,Raho Sathe Iman,Iman Chakraborty
Baro Asha Kore Esechhi Go,Rajbadhu,"Hemanta Mukherjee, Arundhati Holme Chowdhury"
Aji Nirbhoynidrito Bhubane,Rare Gems From Tagore,Swapan Gupta
Baje Baje Ramyabeena Baje,Ravi Ragini Brahma Sangeet,"Sumitra Sen, Indrani Sen"
Satyamangal Premmoy Tumi,Ravi Ragini Brahma Sangeet,Kanika Banerjee
Kali Kali Balo Re Aaj,Raviragini,Shaheb Chatterjee
Bhuban Hoite Bhubanbasi,Geetabitan Archive,Biswarup Rudra
Chiradibaso Nabo Madhuri,Geetabitan Archive,Sudeshna Mitra
Amare Karo Jibandan,Rezwana Choudhury Bannya,Rezwana Chowdhury Bannya
Ke Go Antartaro Se,Rezwana Choudhury Bannya,Rezwana Chowdhury Bannya
Rakho Rakho Re,,Sudha Mukherjee
Rakho Rakho Re,Sanchayan Swagatalakshmi,
Rakho Rakho Re,Rezwana Choudhury Bannya,
Amar Mon Jakhan Jagli Na Re,Sagar Sen And Promit Sen,Promit Sen
Dhay Jeno Mor Sakal Bhalobasa,Sagar Sen Songs Of,Sagar Sen
Ohe Jibanballabh,Sagar Sen Songs Of,Sagar Sen
Dakichho Shuni Jaginu Probhu,Sagar Sen And Promit Sen,Sagar Sen
Prane Khushir Tuphan Uthechhe,Sanchayan,Kabir Suman
Dukkher Timir Jodi Jwale,Sanchayan Akashbhara,Debabrata Biswas
Aar Nahe Aar Noy,Sanchayan Arghya Sen,Arghya Sen
Amar Je Aase Kachhe,Sanchayan Arghya Sen,Arghya Sen
Ailo Shanto Sandhya,,Hemanta Mukherjee
Ailo Shanto Sandhya,Sanchayan Mohan Singh,Mohan Singh
Amar Milan Lagi Tumi,Sanchayan Mohan Singh,Mohan Singh
Gaane Gaane Tabo Bandhan Jaak Toote,Sanchayan Pijushkanti,Pijushkanti Sarkar
Jiban Jakhan Chhilo,Sanchayan Pijushkanti,Pijushkanti Sarkar
Joy Hok Joy Hok,Sanchayan Pijushkanti,Pijushkanti Sarkar
Pinakete Lage Tankar,Sanchayan Pijushkanti,Pijushkanti Sarkar
Ami Tarei Khunje Berai,Sanchayan Pratima Mullick,Pramita Mullick
Aaji Shubhodine Pitar Bhabane,Sanchayan Sagar Sen,Sagar Sen
